locus,comp,gene_name,product,operon,TF,cra,link
b2169,0.461724978504,fruB,fructose PTS permease - FruB subunit,"fruB, fruK, fruA","Sigma70, cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7990
b2168,0.375258079358,fruK,1-phosphofructokinase,"fruB, fruK, fruA","Sigma70, cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10337
b2167,0.365541995301,fruA,fructose PTS permease - FruA subunit,"fruB, fruK, fruA","Sigma70, cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10336
b1241,0.131058227429,adhE,aldehyde-alcohol dehydrogenase,adhE,"Sigma38, cra, fis, fnr, gcvB, lrp, narL",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10031
b2165,0.12705761387199999,psuG,predicted pseudouridine 5'-phosphate glycosidase,"psuK, psuG",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12033
b2927,0.121107660508,epd,erythrose 4-phosphate dehydrogenase,"epd, pgk, fbaA","Sigma70, cra, crp, nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10368
b2166,0.11172298441400001,psuK,predicted pseudouridine kinase,"psuK, psuG",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11646
b3612,0.101155334443,gpmM,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase","gpmM, envC, yibQ","Sigma38, cra, fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12296
b2926,0.07157206013789999,pgk,phosphoglycerate kinase,"epd, pgk, fbaA","Sigma70, cra, crp, nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10703
b2925,0.0681497301714,fbaA,fructose bisphosphate aldolase class II,"epd, pgk, fbaA","Sigma70, cra, crp, nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10282
b1780,0.0646478398324,yeaD,conserved protein,"gapA, yeaD","Sigma32, arcA, cra, fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6966
b3365,0.0638772260641,nirB,"nitrite reductase, large subunit","nirB, nirD, nirC, cysG","Sigma70, cra, crp, fis, fnr, h-NS, ihf, narL, narP",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b4232,-0.0709614990751,fbp,"fructose-1,6-bisphosphatase I",fbp,cra,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10283
b1702,-0.202126215399,ppsA,phosphoenolpyruvate synthetase,ppsA,"Sigma70, cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10759
b0080,-0.269700681266,cra,Cra DNA-binding transcriptional dual regulator,cra,"Sigma32, phoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10338
