,start,stop,strand,gene_name,length,operon,COG,gene_product,description,classif,Unnamed: 11,regulator
BSU_00010,410,1750,1,dnaA,1340,dnaA->dnaN,"Replication, recombination and repair",replication initiation protein,"AAA  ATPase, [[category|SW 3.1.1|replication]] initiation protein",-,,"Spo0A,SigA"
BSU_00020,1939,3075,1,dnaN,1136,dnaA->dnaN,"Replication, recombination and repair","DNA polymerase  III (beta subunit), beta clamp","DNA polymerase  III (beta subunit), beta clamp, part of the [SW|replisome], also involved in DNA mismatch repair, inhibitor of [[protein|6740108089F13116F200C15F35C2E7561E990FEB]] oligomerization",-,,"Spo0A,SigA"
BSU_00030,3206,3421,1,yaaA,215,yaaA->gyrA,Function unknown,ribosome assembly factor,"ribosome assembly factor, participates in the assembly of the 50S subunit of the ribosome",-,,SigA
BSU_00040,3437,4549,1,recF,1112,yaaA->gyrA,"Replication, recombination and repair",promoter of [[protein|A44D4677FB70BE8F554BF1001A500F817C7DA95F]] DNA repair center assembly,promoter of [[protein|A44D4677FB70BE8F554BF1001A500F817C7DA95F]] DNA repair center assembly,-,,SigA
BSU_00050,4567,4812,1,remB,245,yaaA->gyrA,Function unknown,regulator of the extracellular matrix,"involved in the activation of biofilm matrix biosynthetic operons, acts in parallel to [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]], [[protein|E5110D9C36E8C55AFD1419987B14A53232165F20]], and [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]]",-,,SigA
BSU_00060,4867,6783,1,gyrB,1916,yaaA->gyrA,"Replication, recombination and repair",DNA gyrase (subunit B),DNA gyrase (subunit B),-,,SigA
BSU_00070,6994,9459,1,gyrA,2465,yaaA->gyrA,"Replication, recombination and repair",DNA gyrase (subunit A),DNA gyrase (subunit A),-,,SigA
BSU_00080,14847,15794,-1,yaaC,947,yaaC,Function unknown,unknown,unknown,-,,
BSU_00090,15915,17381,1,guaB,1466,guaB,Nucleotide transport and metabolism,IMP dehydrogenase,IMP dehydrogenase,-,,CodY
BSU_00100,17534,18865,1,dacA,1331,dacA->serS,Cell wall/membrane/envelope biogenesis,"penicillin-binding protein 5, D-alanyl-D-alanine carboxypeptidase","penicillin-binding protein 5, major D-alanyl-D-alanine carboxypeptidase",-,,
BSU_00110,19062,19946,1,pdxS,884,"dacA->serS, pdxS->pdxT, pdxS->serS",Coenzyme transport and metabolism,pyridoxal-5-phosphate synthase (synthase domain),pyridoxal-5-phosphate synthase (synthase domain),-,,Spo0A
BSU_00120,19968,20558,1,pdxT,590,"dacA->serS, pdxS->pdxT, pdxS->serS",Coenzyme transport and metabolism,pyridoxal-5-phosphate synthase (glutaminase domain),pyridoxal-5-phosphate synthase (glutaminase domain),-,,Spo0A
BSU__misc_RNA_1,20611,20823,1,BSU_misc_RNA_1,212,,No COG category,,,-,,Spo0A
BSU_00130,20880,22157,1,serS,1277,"serS, dacA->serS, pdxS->serS","Translation, ribosomal structure and biogenesis",seryl-tRNA-synthetase,seryl-tRNA-synthetase,-,,T-box
BSU_00140,22496,23149,-1,dck,653,dgk->dck,Nucleotide transport and metabolism,deoxyadenosin/deoxycytidine kinase,deoxyadenosin/deoxycytidine kinase,-,,
BSU_00150,23146,23769,-1,dgk,623,dgk->dck,Nucleotide transport and metabolism,deoxyguanosine kinase,deoxyguanosine kinase,-,,
BSU_00160,23868,25151,-1,yaaH,1283,"yaaH, yaaI->yaaH",Cell wall/membrane/envelope biogenesis,N-acetylglucosaminidase,"general stress protein, survival of ethanol  stress, [[protein|CEBEC9CECCF445C40D793E61A2CD23175631A473]]-dependent protein of the inner spore coat, spore cortex lytic protein",-,,"SigE,SigB,SpoIIID"
BSU_00170,25221,25766,-1,yaaI,545,yaaI->yaaH,"Secondary metabolite biosynthesis, transport, and catabolism",unknown,"general stress protein, similar to isochorismatase",-,,SigB
BSU_00180,25852,26337,1,yaaJ,485,yaaJ->scr,Nucleotide transport and metabolism,tRNA specific adenosine deaminase,tRNA specific adenosine deaminase,-,,SigA
BSU__misc_RNA_2,26533,26635,1,scr,102,yaaJ->scr,No COG category,"small cytoplasmic RNA (scRNA, 4.5S RNA)","4.5 S RNA, causes RNA-driven elongation arrest by interaction with the 23S rRNA",-,,SigA
