locus,gene_weight,gene_name,gene_product,cog,regulator,XisF4,link
PA0723,0.2931260698,coaB,phage coat protein B,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0723&e1=1&assembly=complete
PA0722,0.28292692950000004,PA0722,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0722&e1=1&assembly=complete
PA0718,0.27279004490000003,PA0718,hypothetical protein,Function unknown,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0718&e1=1&assembly=complete
PA0720,0.2695965202,PA0720,helix destabilizing protein of bacteriophage Pf1,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0720&e1=1&assembly=complete
PA0719,0.26689366810000004,PA0719,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0719&e1=1&assembly=complete
PA0725,0.2457895363,PA0725,hypothetical protein,Function unknown,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0725&e1=1&assembly=complete
PA0721,0.2438344342,PA0721,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0721&e1=1&assembly=complete
PA0724,0.2119308563,PA0724,phage coat protein A,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0724&e1=1&assembly=complete
PA0726,0.203136109,PA0726,hypothetical protein,Function unknown,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0726&e1=1&assembly=complete
PA0727,0.1658045967,PA0727,hypothetical protein,No COG annotation,XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0727&e1=1&assembly=complete
PA0728,0.1153905113,PA0728,bacteriophage integrase,"Replication, recombination and repair",XisF4,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0728&e1=1&assembly=complete
