locus,gene_weight,gene_name,gene_product,cog,regulator,LldR,ErbR,link
PA3235,0.3171454194,PA3235,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3235&e1=1&assembly=complete
PA3234,0.29110450600000004,PA3234,acetate permease,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3234&e1=1&assembly=complete
PA4290,0.27656546200000004,PA4290,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4290&e1=1&assembly=complete
PA0887,0.2652328657,acsA,acetyl-CoA synthetase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0887&e1=1&assembly=complete
PA3233,0.2212719582,PA3233,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3233&e1=1&assembly=complete
PA3038,0.2166571829,PA3038,porin,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3038&e1=1&assembly=complete
PA5445,0.1623000815,PA5445,coenzyme A transferase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5445&e1=1&assembly=complete
PA3232,0.1405516367,PA3232,DNA polymerase III subunit epsilon,"Replication, recombination and repair",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3232&e1=1&assembly=complete
PA2679,0.13870482380000002,PA2679,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2679&e1=1&assembly=complete
PA1333,0.1263878733,PA1333,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1333&e1=1&assembly=complete
PA3271,0.1211379078,PA3271,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3271&e1=1&assembly=complete
PA4289,0.10568693650000001,PA4289,transporter,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4289&e1=1&assembly=complete
PA1986,0.0960369345,pqqB,coenzyme PQQ synthesis protein B,Function unknown,"ErbR,ErbR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1986&e1=1&assembly=complete
PA4770,0.0881638705,lldP,L-lactate permease,Energy production and conversion,LldR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4770&e1=1&assembly=complete
PA3231,0.0836880015,PA3231,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3231&e1=1&assembly=complete
PA1989,0.0767962735,pqqE,coenzyme PQQ synthesis protein E,Coenzyme transport and metabolism,"ErbR,ErbR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1989&e1=1&assembly=complete
PA1987,0.07661048250000001,pqqC,pyrroloquinoline-quinone synthase,Coenzyme transport and metabolism,"ErbR,ErbR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1987&e1=1&assembly=complete
PA1988,0.0741119351,pqqD,coenzyme PQQ synthesis protein D,Function unknown,"ErbR,ErbR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1988&e1=1&assembly=complete
PA2624,0.07147304360000001,idh,isocitrate dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2624&e1=1&assembly=complete
PA0208,0.0702180567,mdcA,malonate decarboxylase subunit alpha,Lipid transport and metabolism,MdcR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0208&e1=1&assembly=complete
PA1990,0.0697182025,pqqH,peptidase,Amino acid transport and metabolism,"ErbR,ErbR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1990&e1=1&assembly=complete
PA4606,0.0610715022,PA4606,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4606&e1=1&assembly=complete
PA4198,0.0590359909,PA4198,acyl-CoA synthetase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4198&e1=1&assembly=complete
PA4771,0.0584943782,lldD,L-lactate dehydrogenase,Energy production and conversion,LldR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4771&e1=1&assembly=complete
PA2746a,0.0574455922,PA2746a,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2746a&e1=1&assembly=complete
PA0483,0.0530261875,PA0483,acetyltransferase,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0483&e1=1&assembly=complete
PA1978,0.050333474600000004,erbR,glycerol metabolism activator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1978&e1=1&assembly=complete
PA0742,0.0494803195,PA0742,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0742&e1=1&assembly=complete
PA0482,0.0490007703,glcB,malate synthase G,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0482&e1=1&assembly=complete
PA5204,0.0479092652,argA,N-acetylglutamate synthase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5204&e1=1&assembly=complete
PA3568,0.0478609817,PA3568,propionyl-CoA synthetase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3568&e1=1&assembly=complete
PA4640,0.047717612900000005,mqoB,malate:quinone oxidoreductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4640&e1=1&assembly=complete
PA3614,0.0464980964,PA3614,hypothetical protein,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3614&e1=1&assembly=complete
PA0789,0.046477209900000004,PA0789,amino acid permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0789&e1=1&assembly=complete
PA4812,0.0461939596,fdnG,formate dehydrogenase-O major subunit,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4812&e1=1&assembly=complete
PA4772,0.045888293600000005,PA4772,ferredoxin,Energy production and conversion,LldR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4772&e1=1&assembly=complete
PA1507,0.0446573211,PA1507,transporter,Nucleotide transport and metabolism,PA1520,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1507&e1=1&assembly=complete
PA3270,0.0443176007,PA3270,hypothetical protein,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3270&e1=1&assembly=complete
PA0797,0.043901001,PA0797,transcriptional regulator,Transcription,PrpR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0797&e1=1&assembly=complete
PA4605,0.0432560717,PA4605,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4605&e1=1&assembly=complete
PA5085,0.042499829100000004,dguR,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5085&e1=1&assembly=complete
PA3303a,-0.0456628386,PA3303a,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3303a&e1=1&assembly=complete
PA0195.1,-0.0505892783,pntAB,NAD(P) transhydrogenase subunit alpha,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0195.1&e1=1&assembly=complete
PA5046,-0.0512867666,PA5046,malic enzyme,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5046&e1=1&assembly=complete
