locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SigB,link
BSU_24770,0.2378281436086831,mgsR,transcriptional regulator of stress,Inorganic ion transport and metabolism,Op1961,"SigB,MgsR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24770
BSU_37210,0.2284122007603294,ywjC,conserved protein of unknown function,No COG annotation,Op2899,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37210
BSU_37240,0.19779677012050254,clsC,minor cardiolipin synthetase,Lipid transport and metabolism,Op2902,"SigB,Fur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37240
BSU_08570,0.1911799192845197,yfhK,putative exported protein,Signal transduction mechanisms,Op664,"SigW,SigB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08570
BSU_02110,0.1896943823906841,ybyB,conserved protein of unknown function,No COG annotation,Op157,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02110
BSU_09530,0.18687518573615114,akrN,aldo/keto reductase specific for NADPH%3B protects against methylglyoxal,Energy production and conversion,Op737,"SigB,FapR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09530
BSU_38430,0.18443619491932864,gspA,putative glycosyl transferase (general stress protein),Cell wall/membrane/envelope biogenesis,Op2977,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_38430
BSU_39810,0.18288169726609813,csbC,putative metabolite transporter,Amino acid transport and metabolism,Op3059,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39810
BSU_09690,0.16929790252229318,nhaX,stress response protein%2C UspA family,Signal transduction mechanisms,Op751,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09690
BSU_24760,0.14299271208137262,rsbRD,component of the anxiosome (stressosome),Signal transduction mechanisms,Op1960,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24760
BSU_38180,0.14162328706131802,ywzA,conserved protein of unknown function,Function unknown,Op2957,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_38180
BSU_14660,0.12944343701366226,ykzI,conserved general stress protein,No COG annotation,Op1154,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14660
BSU_35830,0.12196600116901275,ywtG,putative carbohydrate/proton transporter,Amino acid transport and metabolism,Op2789,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35830
BSU_40529,0.1127358941858686,yyzH,hypothetical protein,No COG annotation,Op3106,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_40529
BSU_24000,0.11074733260513377,bmrU,putative lipid kinase BmrU,Lipid transport and metabolism,Op1923,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24000
BSU_36720,0.11058817217491873,ywmE,conserved protein of unknown function,No COG annotation,Op2861,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36720
BSU_39840,0.11007048231450116,yxbG,putative oxidoreductase,Lipid transport and metabolism,Op3062,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39840
BSU_36670,0.10812132049626,csbD,stress response protein,Transcription,Op2857,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36670
BSU_04400,0.10484706220328567,gsiB,general stress protein glucose starvation induced,No COG annotation,Op328,"SigI,SigB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04400
BSU_11839,0.10223146152544098,yjzE,hypothetical protein,No COG annotation,Op919,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_11839
BSU_39050,0.10056686869518644,katE,catalase 2,Inorganic ion transport and metabolism,Op3018,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39050
BSU_13020,0.09753516202599627,ddaH,N(G)%2CN(G)-dimethylarginine dimethylaminohydrolase,Amino acid transport and metabolism,Op1011,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13020
BSU_07550,0.09644351071428142,yflT,heat stress induced protein,Function unknown,Op601,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_07550
BSU_04039,0.09607330331412806,yczO,conserved protein of unknown function,No COG annotation,Op304,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04039
BSU_18510,0.09552188910179726,yoxC,transition-dependent and sulfur-related metabolism protein,Function unknown,Op1413,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18510
BSU_07920,0.09411005823033172,chaA,H+/Ca2+ antiporter,Inorganic ion transport and metabolism,Op625,"SigB,SigG",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_07920
BSU_02590,0.0935602053315048,ycbP,putative inner integral membrane protein,Function unknown,Op193,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02590
BSU_24740,0.09235584959551577,yqxL,CorA-type divalent ion transporter,Inorganic ion transport and metabolism,Op1958,"SigB,LexA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24740
BSU_24750,0.0887488278591865,yqhB,putative membrane associated enzyme,Function unknown,Op1959,"SigB,LexA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24750
BSU_13160,0.08733808604917426,ohrB,organic hydroperoxide resistance reductase B,"Post-translational modification, protein turnover, and chaperones",Op1024,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13160
BSU_04370,0.08301238985551462,ydaS,conserved protein of unknown function,No COG annotation,Op326,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04370
BSU_07750,0.08087350335578719,yflA,putative aminoacid transporter,Amino acid transport and metabolism,Op615,"SigB,Abh,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_07750
BSU_30930,0.07692236142457035,ytaB,putative receptor,Signal transduction mechanisms,Op2439,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_30930
BSU_07850,0.07167590739782127,sufLB,general stress protein 18%3B deglycase,Function unknown,Op620,"SigB,Fur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_07850
BSU_04710,0.06890102091366823,rsbV,anti-anti-sigma factor (antagonist of RsbW),Signal transduction mechanisms,Op350,"SigA,SigB,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04710
BSU_04720,0.06884052839531649,rsbW,switch protein/serine kinase and anti-sigma factor (inhibitory sigma-B binding protein),Nucleotide transport and metabolism,Op350,"SigA,SigB,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04720
BSU_06590,0.06085488406081424,yerD,putative osmotic shock glutamate synthase subunit (flavoprotein subunit%2C ferredoxin-dependent),Amino acid transport and metabolism,Op524,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_06590
BSU_04730,0.060820305889605714,sigB,RNA polymerase sigma-37 factor (sigma(B)),Transcription,Op350,"SigA,SigB,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04730
BSU_38760,0.05964022868798029,cydA,cytochrome bb' ubiquinol oxidase (subunit I),Energy production and conversion,Op2994,"ResD,Rex,SigF,CcpA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_38760
BSU_30650,0.05955271445125815,dps,DNA-protecting protein%2C mini-ferritin,Inorganic ion transport and metabolism,Op2420,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_30650
BSU_18520,0.05931385046794992,yoxB,conserved protein of unknown function,No COG annotation,Op1413,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18520
BSU_02830,0.05844383344026662,ycdF,putative oxidoreductase,Lipid transport and metabolism,Op217,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02830
BSU_04340,0.054748889046012286,poxB,acetyl-phosphate generating pyruvate oxidase,Amino acid transport and metabolism,Op322,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04340
BSU_04220,0.0527286733400568,ydaG,putative general stress protein,Function unknown,Op314,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04220
BSU_04180,0.05260090368832774,ydaC,putative methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op313,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04180
BSU_04740,0.0497598557146042,rsbX,serine phosphatase,Transcription,Op350,"SigA,SigB,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04740
BSU_24450,0.04920282440533366,efp,elongation factor P,"Translation, ribosomal structure and biogenesis",Op1942,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24450
BSU_04190,0.04869864512971617,ydaD,putative dehydrogenase,Lipid transport and metabolism,Op314,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04190
BSU_13169,0.04806639742439518,ykzN,hypothetical protein,No COG annotation,Op1025,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13169
BSU_33410,0.04632389346314365,yvgO,exported stress induced factor,No COG annotation,Op2626,"SigB,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33410
BSU_08600,0.046089078120007766,csbB,putative bactoprenol glycosyl transferase%2C phage origin,Cell wall/membrane/envelope biogenesis,Op665,"SigB,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08600
BSU_35970,0.04417583875520528,ywsB,putative cell wall binding enzyme,Signal transduction mechanisms,Op2795,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35970
BSU_02100,0.04401919444628117,cypC,fatty acid beta-hydroxylating cytochrome P450,"Secondary metabolites biosynthesis, transport, and catabolism",Op156,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02100
