locus,gene_weight,gene_name,gene_product,cog,regulator,Phage_1,link
SP5448_02285,0.2093424666,SP5448_02285,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.416%22)
SP5448_02270,0.2004006337,SP5448_02270,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.413%22)
SP5448_02255,0.1951678511,SP5448_02255,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.410%22)
SP5448_02235,0.19427687070000002,SP5448_02235,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.406%22)
SP5448_02240,0.1919969828,SP5448_02240,hypothetical protein,Function unknown,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.407%22)
SP5448_02330,0.1912682682,SP5448_02330,transcriptional regulator,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.425%22)
SP5448_02250,0.1890312906,SP5448_02250,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.409%22)
SP5448_02275,0.18789170900000002,SP5448_02275,hypothetical protein,"Replication, recombination and repair",Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.414%22)
SP5448_02280,0.1806210872,SP5448_02280,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.415%22)
SP5448_02320,0.1767555583,rlmL_1,DNA methyltransferase,"Replication, recombination and repair",Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.423%22)
SP5448_02220,0.1745107876,ps115_1,XRE family transcriptional regulator,Transcription,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.403%22)
SP5448_02265,0.1721271856,SP5448_02265,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.412%22)
SP5448_02210,0.1714942134,SP5448_02210,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.401%22)
SP5448_02215,0.17099567570000002,SP5448_02215,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.402%22)
SP5448_02470,0.1669302385,SP5448_02470,streptodornase,Nucleotide transport and metabolism,"CovR,Mga,CovR,Phage_1",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.453%22)
SP5448_02315,0.1659270111,SP5448_02315,hypothetical protein,Function unknown,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.422%22)
SP5448_02205,0.1641532057,int3,recombinase,"Replication, recombination and repair","TrxR_M1,Phage_1",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.400%22)
SP5448_02290,0.16045496480000002,SP5448_02290,DNA polymerase,"Replication, recombination and repair",Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.417%22)
SP5448_02230,0.1599854234,SP5448_02230,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.405%22)
SP5448_02305,0.15569082080000002,SP5448_02305,DEAD/DEAH box helicase,"Replication, recombination and repair",Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.420%22)
SP5448_02295,0.151201056,SP5448_02295,DNA primase,Signal transduction mechanisms,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.418%22)
SP5448_02300,0.1492360609,SP5448_02300,nuclease,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.419%22)
SP5448_02325,0.1183662825,SP5448_02325,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.424%22)
SP5448_08725,0.0803900228,sic1.01,lysis inhibitor protein,Function unknown,"TrxR_M1,Mga,Mga,Nra_stationary_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1686%22)
SP5448_02475,0.07360666340000001,SP5448_02475,hypothetical protein,Function unknown,"FasX_60min_M1,FasX_60min_M1,Phage_1",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.454%22)
SP5448_04060,0.0707340595,inlA,internalin,"Intracellular trafficking, secretion, and vesicular transport","AdcR,TrxR_M1,Rgg,PerR_M14,FasX_15min_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.761%22)
SP5448_04445,0.0573723286,SP5448_04445,hypothetical protein,Function unknown,Mga,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.836%22)
SP5448_04430,0.056192270700000005,SP5448_04430,hypothetical protein,Function unknown,"CovR,Phage_3",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.833%22)
SP5448_02355,0.0553556045,SP5448_02355,hypothetical protein,Function unknown,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.430%22)
SP5448_04455,0.050096908600000004,SP5448_04455,hypothetical protein,Function unknown,Phage_3,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.838%22)
SP5448_04420,0.049647743300000005,SP5448_04420,hypothetical protein,Function unknown,"Rgg,Nra_transition_M49,Nra_stationary_M49,Srv_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.831%22)
SP5448_06330,0.048105112400000004,acrA,ABC transporter substrate-binding protein,Cell wall/membrane/envelope biogenesis,"SPy1285,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1213%22)
SP5448_04435,0.047358191800000005,SP5448_04435,single-stranded DNA-binding protein,Function unknown,Phage_3,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.834%22)
