locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TPP,link
PN96_RS19260,0.1521301759061401,metE2,methionine synthase,Amino acid transport and metabolism,Op1088,MetR,False,
PN96_RS13855,0.1498165790573614,thiS,sulfur carrier protein ThiS,Coenzyme transport and metabolism,Op2887,TPP,True,
PN96_RS13850,0.1479124525422634,thiF,thiazole biosynthesis adenylyltransferase ThiF,Coenzyme transport and metabolism,Op2887,TPP,True,
PN96_RS13860,0.1407385634369717,thiG,thiazole synthase,Coenzyme transport and metabolism,Op2887,TPP,True,
PN96_RS13845,0.1404382366518878,thiE,thiamine phosphate synthase,Coenzyme transport and metabolism,Op2887,TPP,True,
PN96_RS19265,0.1371081949612192,PN96_RS19265,DUF1852 domain-containing protein,Function unknown,Op1088,MetR,False,
PN96_RS13865,0.1333610366479824,thiH,2-iminoacetate synthase ThiH,Energy production and conversion,Op2887,TPP,True,
PN96_RS13840,0.1313633073085073,thiC,phosphomethylpyrimidine synthase ThiC,Coenzyme transport and metabolism,Op2887,TPP,True,
PN96_RS16905,0.1217976268252124,thiY,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Op452,TPP,True,
PN96_RS16895,0.1210025181019352,thiM,hydroxyethylthiazole kinase,Coenzyme transport and metabolism,Op452,TPP,True,
PN96_RS16900,0.1184555700075219,tenA,thiaminase II,Transcription,Op452,TPP,True,
PN96_RS03895,0.1177626990823592,metE,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,Amino acid transport and metabolism,Op988,"MetJ,MetR",False,
