locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,YdfF,CysB,link
PA3441,0.297336549,PA3441,,molybdopterin-binding protein,Coenzyme transport and metabolism,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3441&e1=1&assembly=complete
PA3443,0.270502479,PA3443,,ABC transporter permease,Inorganic ion transport and metabolism,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3443&e1=1&assembly=complete
PA3442,0.263034743,PA3442,,aliphatic sulfonates ABC transporter ATP-binding subunit,Inorganic ion transport and metabolism,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3442&e1=1&assembly=complete
PA3444,0.228895849,PA3444,,alkanesulfonate monooxygenase,Energy production and conversion,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3444&e1=1&assembly=complete
PA3935,0.15875614400000002,tauD,,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3935&e1=1&assembly=complete
PA0280,0.142273926,cysA,,sulfate.thiosulfate ABC transporter ATP-binding protein CysA,Inorganic ion transport and metabolism,YdfF,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0280&e1=1&assembly=complete
PA3445,0.136857754,PA3445,,hypothetical protein,Inorganic ion transport and metabolism,CysB,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3445&e1=1&assembly=complete
PA2085,0.106357296,PA2085,,ring-hydroxylating dioxygenase small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2085&e1=1&assembly=complete
PA2204,0.09714136,PA2204,,ABC transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2204&e1=1&assembly=complete
PA3937,0.09490926300000001,PA3937,,taurine ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3937&e1=1&assembly=complete
PA2597,0.09437198200000001,PA2597,,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2597&e1=1&assembly=complete
PA2086,0.09217417800000001,PA2086,,epoxide hydrolase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2086&e1=1&assembly=complete
PA3936,0.09213961400000001,PA3936,,taurine ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3936&e1=1&assembly=complete
PA2087,0.06926272500000001,PA2087,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2087&e1=1&assembly=complete
PA2090,0.068525239,PA2090,,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2090&e1=1&assembly=complete
PA5383,0.066213003,PA5383,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5383&e1=1&assembly=complete
PA0281,0.06580910100000001,cysW,,sulfate transporter CysW,Inorganic ion transport and metabolism,YdfF,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0281&e1=1&assembly=complete
PA2307,0.06371544600000001,PA2307,,ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2307&e1=1&assembly=complete
