locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ppGpp,PurR,link
b3654,0.3056710306,xanP,xanthine:H(+) symporter XanP,Nucleotide transport and metabolism,xanP,ppGpp,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11194
b2499,0.26489797060000003,purM,phosphoribosylformylglycinamide cyclo-ligase,Nucleotide transport and metabolism,purMN,"RpoD,ppGpp,PurR,Fnr,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10798
b1849,0.24292639740000002,purT,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,purT,"RpoD,ppGpp,PurR,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11809
b0523,0.2322195407,purE,N(5)-carboxyaminoimidazole ribonucleotide mutase,Nucleotide transport and metabolism,purEK,"RpoD,PurR,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10793
b2557,0.2229142341,purL,phosphoribosylformylglycinamide synthetase,Nucleotide transport and metabolism,purL,"RpoD,PurR,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10797
b0522,0.22150837650000002,purK,5-(carboxyamino)imidazole ribonucleotide synthase,Nucleotide transport and metabolism,purEK,"RpoD,PurR,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10796
b4006,0.21571760950000002,purH,bifunctional AICAR transformylase/IMP cyclohydrolase,Nucleotide transport and metabolism,purHD,"RpoD,PhoP,ppGpp,PurR,RbsR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10795
b2476,0.2009393323,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,purC,"RpoD,ppGpp,PurR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10791
b4005,0.19899430880000002,purD,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,purHD,"RpoD,PhoP,ppGpp,PurR,RbsR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10792
b4064,0.1942919112,ghxP,guanine/hypoxanthine transporter GhxP,Function unknown,ghxP,ppGpp,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11939
b2313,0.1852494129,cvpA,colicin V production protein,Function unknown,cvpA-purF-ubiX,"RpoD,ppGpp,PurR,ArgR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10169
b2312,0.18330306940000002,purF,amidophosphoribosyltransferase,Nucleotide transport and metabolism,cvpA-purF-ubiX,"RpoD,ppGpp,PurR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10794
b2500,0.1469608503,purN,phosphoribosylglycinamide formyltransferase 1,Nucleotide transport and metabolism,purMN,"RpoD,PurR,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10799
b3714,0.1060414028,adeP,adenine:H(+) symporter,Function unknown,adeP,ppGpp,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11724
b1131,0.0955383171,purB,adenylosuccinate lyase,Nucleotide transport and metabolism,hflD-purB,"RpoD,ppGpp,PurR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11314
b1687,0.0751335019,ydiJ,putative FAD-linked oxidoreductase,Energy production and conversion,ydiJ-menI-ydiH,YeiE,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6913
b1062,0.0663998328,pyrC,dihydroorotase,Nucleotide transport and metabolism,pyrC,"RpoD,ppGpp,PurR,Fur",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10806
b0336,0.060087557900000005,codB,cytosine transporter,Nucleotide transport and metabolism,codBA,"RpoD,PurR,ppGpp,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b0945,0.058892837,pyrD,dihydroorotate dehydrogenase%2C type 2,Nucleotide transport and metabolism,pyrD,"RpoD,PurR,Fis,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10807
b0529,0.0587516295,folD,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase,Nucleotide transport and metabolism,folD-ybcJ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10328
b4133,-0.061882370900000004,cadC,DNA-binding transcriptional activator CadC,Transcription,cadC,"RpoD,YcjW,LeuO,Fnr,CadC,MlrA,OmpR,H-NS,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10133
b1623,-0.1163458982,add,adenosine deaminase,Nucleotide transport and metabolism,add,"RpoD,RbsR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10030
b1660,-0.1399140035,ydhC,putative transporter YdhC,Amino acid transport and metabolism,ydhC,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
