locus,gene_weight,gene_name,gene_product,cog,regulator,MetJ,link
b3941,0.3195514340269739,metF,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,"RpoD,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10585
b4013,0.2956605906849687,metA,homoserine O-succinyltransferase,Amino acid transport and metabolism,"RpoD,RpoH,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10581
b3828,0.2657260583775863,metR,DNA-binding transcriptional dual regulator MetR,Transcription,"OxyR,YcfQ,YebK,MetJ,MetR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10591
b0600,0.2485737904570649,ybdL,methionine-oxo-acid transaminase%2C PLP-dependent,Amino acid transport and metabolism,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6329
b3939,0.2418600410286695,metB,O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase,Amino acid transport and metabolism,"RpoD,PhoP,HypT,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10582
b0260,0.235222730008302,mmuP,S-methyl-L-methionine transporter,Amino acid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6135
b0199,0.2076437194201447,metN,L-methionine/D-methionine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,MetJ,ppGpp,HypT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11621
b0599,0.205811894974874,hcxA,hydroxycarboxylate dehydrogenase A,Energy production and conversion,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12692
b3829,0.202241461319763,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,"OxyR,YcjW,MetR,MetJ,Nac,fnrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
b3940,0.1832554313093163,metL,fused aspartate kinase/homoserine dehydrogenase 2,Amino acid transport and metabolism,"RpoD,PhoP,YcjW,HypT,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10590
b2942,0.1722201468702759,metK,methionine adenosyltransferase,Coenzyme transport and metabolism,"RpoD,RpoS,Crp,MetJ,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10589
b0198,0.1612724466766603,metI,L-methionine/D-methionine ABC transporter membrane subunit,Inorganic ion transport and metabolism,"RpoD,MetJ,ppGpp,HypT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11737
b0261,0.1491941091913823,mmuM,homocysteine S-methyltransferase,Amino acid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6136
b3008,0.1475537189786547,metC,cystathionine beta-lyase/L-cysteine desulfhydrase,Amino acid transport and metabolism,"RpoD,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10583
b3937,0.1206017956022608,yiiX,putative lipid binding hydrolase,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11882
b3938,0.1203544366984803,metJ,DNA-binding transcriptional repressor MetJ,Transcription,"RpoD,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10588
b0197,0.1124445352634194,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,"RpoD,MetJ,HypT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11504
b3009,0.0588851686355883,yghB,DedA family protein YghB,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11824
b1496,0.0579965684419196,yddA,ABC transporter family protein YddA,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11742
b1495,0.0573716236440929,yddB,putative TonB-dependent receptor,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11743
b1557,-0.0604070462449655,cspB,Qin prophage%3B cold shock-like protein CspB,Transcription,ZraR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12203
