locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fur,link
b0584,0.2646987071,fepA,ferric enterobactin outer membrane transporter,Inorganic ion transport and metabolism,fepA-entD,"RpoD,omrA,YfeD,Crp,Fur,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10293
b0805,0.25855516840000003,fiu,putative iron siderophore outer membrane transporter,Inorganic ion transport and metabolism,fiu,"RpoD,Crp,Fur,rybB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6414
b0595,0.2535764454,entB,enterobactin synthase component B,"Secondary metabolites biosynthesis, transport, and catabolism",entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10260
b4511,0.244495649,ybdZ,enterobactin biosynthesis protein YbdZ,Function unknown,fes-ybdZ-entF-fepE,"RpoD,H-NS,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10437
b0594,0.24333588590000002,entE,2%2C3-dihydroxybenzoate-AMP ligase,"Secondary metabolites biosynthesis, transport, and catabolism",entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10263
b0596,0.2326689395,entA,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase,Lipid transport and metabolism,entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10259
b2155,0.23079365370000002,cirA,ferric dihyroxybenzoylserine outer membrane transporter,Inorganic ion transport and metabolism,cirA,"RpoD,omrB,omrA,Crp,Fur,Hfq,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10155
b0597,0.2284453816,entH,proofreading thioesterase in enterobactin biosynthesis,"Secondary metabolites biosynthesis, transport, and catabolism",entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11105
b0586,0.2260047959,entF,apo-serine activating enzyme,"Secondary metabolites biosynthesis, transport, and catabolism",fes-ybdZ-entF-fepE,"RpoD,YbaQ,Fnr,H-NS,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10264
b0593,0.2210950379,entC,isochorismate synthase EntC,Coenzyme transport and metabolism,entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10261
