locus,gene_weight,gene_name,gene_product,cog,operon,regulator,AraC,FucR,AllR,link
b0509,0.3212242677,glxR,tartronate semialdehyde reductase 2,Lipid transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6278
b0508,0.3160519089,hyi,hydroxypyruvate isomerase,Carbohydrate transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6277
b0507,0.26512666290000003,gcl,glyoxylate carboligase,Function unknown,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11583
b0512,0.2484910371,allB,allantoinase,Nucleotide transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6281
b0063,0.1765502298,araB,ribulokinase,Nucleotide transport and metabolism,araBAD,"RpoD,Crp,AraC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b0062,0.16487067800000002,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
b0505,0.1618670258,allA,ureidoglycolate lyase,Nucleotide transport and metabolism,allA,"YcjW,AllR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6275
b0061,0.1590185926,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b0511,0.1505386249,ybbW,putative allantoin transporter,Nucleotide transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,YeiE,AllR,Nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6280
b1901,0.1357883429,araF,arabinose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,araFGH,"RpoD,RpoS,Crp,AraC,Nac,spf",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10057
b2801,0.107153682,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.1005796486,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2841,0.09753487520000001,araE,arabinose:H(+) symporter,Amino acid transport and metabolism,araE-ygeA,"RpoD,Crp,AraC,Nac",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10056
b1900,0.0910647629,araG,arabinose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,araFGH,"RpoD,RpoS,Crp,AraC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10058
b2799,0.09007077050000001,fucO,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,fucAO,"RpoD,YdcN,Crp,FucR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b2800,0.0879328209,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,fucAO,"RpoD,Crp,FucR,Nac",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2803,0.0874471205,fucK,L-fuculokinase,Nucleotide transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
b4460,0.0872304873,araH,arabinose ABC transporter membrane subunit,Carbohydrate transport and metabolism,araFGH,"RpoD,RpoS,Crp,AraC",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10059
