locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,EsrC,link
PA3719,0.312570124,armR,,MexR antirepressor ArmR,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3719&e1=1&assembly=complete
PA3720,0.24623970900000003,PA3720,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3720&e1=1&assembly=complete
PA3718,0.24377820400000003,PA3718,,major facilitator superfamily transporter,Amino acid transport and metabolism,SoxR,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3718&e1=1&assembly=complete
PA4599,0.220920582,mexC,,resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexC,Cell wall/membrane/envelope biogenesis,"EsrC,NfxB",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4599&e1=1&assembly=complete
PA3721,0.18156227700000002,nalC,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3721&e1=1&assembly=complete
PA4598,0.160459188,mexD,,resistance-nodulation-cell division (RND) multidrug efflux transporter MexD,"Intracellular trafficking, secretion, and vesicular transport","EsrC,NfxB",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4598&e1=1&assembly=complete
PA4597,0.15641696300000002,oprJ,,multidrug efflux outer membrane protein OprJ,Cell wall/membrane/envelope biogenesis,"EsrC,NfxB",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4597&e1=1&assembly=complete
PA4596,0.15059007300000002,esrC,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4596&e1=1&assembly=complete
PA0424,0.085560707,mexR,,multidrug resistance operon repressor MexR,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0424&e1=1&assembly=complete
PA4838,0.08204438500000001,PA4838,,hypothetical protein,Function unknown,Zur,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4838&e1=1&assembly=complete
PA0425,0.077118616,mexA,,multidrug resistance protein MexA,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0425&e1=1&assembly=complete
PA2825,-0.07573727100000001,ospR,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2825&e1=1&assembly=complete
PA4774,-0.082107867,PA4774,,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4774&e1=1&assembly=complete
