locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TyrR,link
b2601,0.5592470766000001,aroF,3-deoxy-7-phosphoheptulonate synthase%2C Tyr-sensitive,Amino acid transport and metabolism,aroF-tyrA,"RpoD,SoxR,TyrR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10078
b2600,0.4906256236,tyrA,fused chorismate mutase/prephenate dehydrogenase,Amino acid transport and metabolism,aroF-tyrA,"RpoD,SoxR,TyrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11039
b1907,0.1941394794,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,tyrP,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b0388,0.1818061568,aroL,shikimate kinase 2,Nucleotide transport and metabolism,aroL-yaiA-aroM,"RpoD,TyrR,TrpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10082
b0112,0.1447567495,aroP,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",aroP,"RpoD,Cra,TyrR,ArgR,Fnr,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
b2602,0.1441064196,yfiL,DUF2799 domain-containing lipoprotein YfiL,Function unknown,yfiL,"Nac,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12446
b0389,0.10609939510000001,yaiA,protein YaiA,Function unknown,aroL-yaiA-aroM,"RpoD,YfeC,TrpR,TyrR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11093
b4054,0.09387377470000001,tyrB,tyrosine aminotransferase,Amino acid transport and metabolism,tyrB,"RpoD,TyrR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11040
b2599,0.08194537760000001,pheA,fused chorismate mutase/prephenate dehydratase,Amino acid transport and metabolism,pheLA,"RpoD,rydC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10707
b0390,0.0718116551,aroM,protein AroM,Amino acid transport and metabolism,aroL-yaiA-aroM,"RpoD,YfeC,TyrR,ppGpp,TrpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10083
b3161,-0.0937201223,mtr,tryptophan:H(+) symporter Mtr,Amino acid transport and metabolism,mtr,"RpoD,IHF,HU,TyrR,TrpR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10617
