locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GadX,link
b3509,0.3899222271,hdeB,periplasmic acid stress chaperone,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,TorR,gcvB,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11399
b3511,0.3355027244,hdeD,acid-resistance membrane protein,Function unknown,hdeD,"RcsB,RpoD,RpoS,PhoP,GadX,H-NS,GadE,ppGpp,cyaR,rprA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11495
b3510,0.33522217460000003,hdeA,HdeA monomer%2C chaperone active form,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,oxyS,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11398
b3517,0.30692536540000004,gadA,glutamate decarboxylase A,Amino acid transport and metabolism,gadAXW,"RpoD,TorR,RpoS,Fis,Crp,ArcA,Fnr,AdiY,RcsB,H-NS,GadW,GadX,GadE-RcsB,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50009
b1493,0.3011616633,gadB,glutamate decarboxylase B,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,oxyS,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11490
b3512,0.2963924921,gadE,DNA-binding transcriptional activator GadE,Transcription,gadEF-mdtEF,"PhoP,RpoD,RpoS,GadW,YdeO,Crp,ArcA,EvgA,H-NS,GadX,FliZ,GadE,Nac,ppGpp,ArrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b3508,0.2882697481,yhiD,inner membrane protein YhiD,Function unknown,hdeAB-yhiD,"RpoD,RcsB,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11400
b1492,0.2616861189,gadC,L-glutamate:4-aminobutyrate antiporter,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6786
b3491,0.1113075347,yhiM,inner membrane protein with a role in acid resistance,Function unknown,yhiM,"oxyS,RpoS,GadE,H-NS,GadE-RcsB,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12228
b2217,0.1103550585,rcsB,DNA-binding transcriptional activator RcsB,Transcription,rcsDB,"RpoD,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10821
b3506,0.1066879502,slp,starvation lipoprotein,Cell wall/membrane/envelope biogenesis,slp-dctR,"RpoD,gcvB,MarA,GadW,YdeO,ppGpp,GadX,H-NS,GadE-RcsB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11890
b3513,0.09133039080000001,mdtE,multidrug efflux pump membrane fusion protein MdtE,Cell wall/membrane/envelope biogenesis,gadEF-mdtEF,"RpoD,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,Nac,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12240
b3507,0.0739709359,dctR,putative DNA-binding transcriptional regulator DctR,Transcription,slp-dctR,"RpoD,MarA,GadW,YdeO,H-NS,GadX,GadE-RcsB,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11889
b4187,0.059405382900000005,aidB,putative acyl-CoA dehydrogenase AidB,Lipid transport and metabolism,aidB,"RpoD,YidZ,RpoS,Ada,AidB,ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11811
b3514,0.0588504153,mdtF,multidrug efflux pump RND permease MdtF,Defense mechanisms,gadEF-mdtEF,"RpoD,YidZ,YeiE,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12241
b0485,0.0555091422,glsA,glutaminase 1,Amino acid transport and metabolism,glsA-ybaT,"RpoS,GadX,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6261
b0486,0.0479703823,ybaT,putative transporter YbaT,Amino acid transport and metabolism,glsA-ybaT,"RpoS,GadX,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6262
