locus,gene_weight,gene_name,gene_product,cog,regulator,ArcA,link
b4735,0.2235929198158351,ybgU,protein YbgU,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16730
b1422,0.1946745045443771,ydcI,putative DNA-binding transcriptional repressor YdcI,Transcription,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6737
b2181,0.1775106646899659,yejG,protein YejG,Function unknown,"Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12042
b2980,0.1672038052113747,glcC,DNA-binding transcriptional dual regulator GlcC,Transcription,"RpoD,Crp,Fis,Cra,GlcC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7546
b3820,0.1612857943361939,yigI,putative thioesterase YigI,"Secondary metabolites biosynthesis, transport, and catabolism","Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11467
b2210,0.1518818960819913,mqo,malate:quinone oxidoreductase,Energy production and conversion,"Lrp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12069
b3603,0.1367926011697592,lldP,lactate/glycolate:H(+) symporter LldP,Energy production and conversion,"RpoD,YdcI,ArcA,LldR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11961
b0346,0.1252122355392069,mhpR,DNA-binding transcriptional activator MhpR,Transcription,"RpoD,YbaQ,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6201
b0113,0.1211022906629762,pdhR,DNA-binding transcriptional dual regulator PdhR,Transcription,"RpoD,RpoS,Fnr,Crp,Cra,PdhR,GlaR,OmpR,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11088
b1020,0.1182455102613661,phoH,ATP-binding protein PhoH,Signal transduction mechanisms,"RpoD,ppGpp,PhoB,Lrp,Nac,GlaR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11734
b3962,0.1170286704721902,sthA,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,"Lrp,ArcA,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11428
b0721,0.1118614778766033,sdhC,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,"RpoD,YdcI,YdiP,Fur,Fnr,Crp,ArcA,Nac,rybB,ryhB,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10933
b2587,0.1085969100570506,kgtP,alpha-ketoglutarate:H(+) symporter,Amino acid transport and metabolism,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10522
b0432,0.0985418168428749,cyoA,cytochrome bo3 ubiquinol oxidase subunit 2,Energy production and conversion,"RpoD,YneJ,GadE,Fur,HprR,Fis,CusR,Fnr,ArcA,Cra,Crp,PdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10178
b2537,0.0936651724161596,hcaR,DNA-binding transcriptional dual regulator HcaR,Transcription,"HcaR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7331
b2150,0.0934434748767033,mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,"RpoD,RpoS,GalR,GalS,FlhDC,Crp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b1778,0.0923154130623756,msrB,methionine sulfoxide reductase B,"Post-translational modification, protein turnover,and chaperones","RpoD,YfeC,ryhB,Fnr,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12394
b0458,0.0896648064439546,ylaC,putative inner membrane protein,Function unknown,"YdcN,YdcR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6253
b1777,0.0871206284745283,yeaC,conserved protein YeaC,Function unknown,ryhB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6964
b4542,0.0860781325046192,yohO,UPF0387 family protein YohO,No COG annotation,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10459
b1612,0.0859606463548082,fumA,fumarase A,Energy production and conversion,"RpoD,ryhB,Fnr,ArcA,Crp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10356
b0313,0.0840440353175311,betI,DNA-binding transcriptional repressor BetI,Transcription,"RpoD,ArcA,Cra,BetI,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10111
b2518,0.0828104311230711,ndk,nucleoside diphosphate kinase,Nucleotide transport and metabolism,"ppGpp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10650
b3351,0.0820282684155413,kefG,protein required for KefB activity,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7717
b2310,0.0809431518015218,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,"YcjW,RpoN,gcvB,NtrC,ppGpp,Lrp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10072
b1298,0.0786922501903677,puuD,gamma-glutamyl-gamma-aminobutyrate hydrolase,Function unknown,"RpoS,Crp,ArcA,ppGpp,PuuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6645
b1607,0.077176046282802,ydgC,GlpM family protein,Function unknown,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6863
b2844,0.0766826979333017,yqeF,putative acyltransferase,Lipid transport and metabolism,"YidZ,ppGpp,Crp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7464
b4340,0.0765665341006529,yjiR,fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,Transcription,"ppGpp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7936
b0124,0.0756211943088675,gcd,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,"RpoD,Crp,IHF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10369
b3894,0.0752581579052612,fdoG,formate dehydrogenase O subunit alpha,Energy production and conversion,"YfeC,ryhB,YfeD,Nac,SdhX",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11858
b0314,0.0737523887947264,betT,choline:H(+) symporter,Cell wall/membrane/envelope biogenesis,"RpoD,ArcA,Cra,BetI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10112
b2149,0.071243040330189,mglA,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,RpoS,GalR,GalS,Fis,FlhDC,Crp,ppGpp,Nac,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10592
b1332,0.0708913922623925,ynaJ,DUF2534 domain-containing protein YnaJ,Function unknown,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6668
b3528,0.0698503126960821,dctA,C4 dicarboxylate/orotate:H(+) symporter,Energy production and conversion,"RpoD,ArcA,Crp,ppGpp,DcuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20044
b1163,0.0692122870455277,bluF,blue light-responsive regulator of BluR,Signal transduction mechanisms,"RpoD,YfeC,RcdA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6603
b1384,0.0682632852086791,feaR,DNA-binding transcriptional activator FeaR,Transcription,"QseB,RpoD,NsrR,Nac,Crp,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b3453,0.0677289880544754,ugpB,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,"RpoD,Crp,ppGpp,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11047
b2582,0.0664288133458392,trxC,reduced thioredoxin 2,"Post-translational modification, protein turnover,and chaperones","RpoD,OxyR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11887
b0312,0.065386115870948,betB,betaine aldehyde dehydrogenase,Energy production and conversion,"RpoD,ArcA,Cra,BetI,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10110
b1189,0.0652243631453607,dadA,D-amino acid dehydrogenase,Amino acid transport and metabolism,"RpoD,YddM,ppGpp,Crp,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11407
b3604,0.0615773489039395,lldR,DNA-binding transcriptional dual regulator LldR,Transcription,"RpoD,ArcA,LldR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11962
b0118,0.0610288483240943,acnB,hypothetical protein,Energy production and conversion,"RpoD,ryhB,Fis,Crp,Cra,ArcA,AcnB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12316
b1415,0.0593952166746588,aldA,aldehyde dehydrogenase A,Energy production and conversion,"RpoD,Rob,YidZ,SoxS,Fnr,Crp,MarA,ArcA,DnaA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b1297,0.0591676620351965,puuA,glutamate-putrescine ligase,Amino acid transport and metabolism,"RpoS,Fnr,ArcA,ppGpp,PuuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6644
b1611,0.0580538557119674,fumC,fumarase C,Energy production and conversion,"RpoD,RpoS,Fur,Fnr,ArcA,Crp,MarA,Rob,SoxR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10358
b3397,0.0574265243931941,nudE,ADP-sugar diphosphatase NudE,"Replication, recombination and repair","YciT,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7740
b4705,0.0568082436095494,mntS,small protein MntS,No COG annotation,"RpoD,MntR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10715
b1256,0.0568006346956297,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,"rybB,ArcA,Crp,NarL,Fnr,SoxS,Fur,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
b3995,0.0554869294989392,rsd,regulator of sigma D,Transcription,"RpoD,RpoS,ArcA,ppGpp,McbR,RcdA,SlyA,SdiA,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11738
b2111,0.0547224952512153,yehD,putative fimbrial protein YehD,Cell motility,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11990
b4332,0.0537092778091287,yjiJ,putative transporter YjiJ,Amino acid transport and metabolism,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7929
b1190,0.0528672299778122,dadX,alanine racemase 2,Amino acid transport and metabolism,"RpoD,ppGpp,Crp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11408
b4210,0.0523102664724676,ytfF,inner membrane protein YtfF,Amino acid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7867
b2342,0.0522102971382822,fadI,3-ketoacyl-CoA thiolase FadI,Lipid transport and metabolism,"RpoD,ArcA,FadR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7213
b1276,0.0504429049440854,acnA,aconitate hydratase 1,Energy production and conversion,"RpoD,Rob,YcjW,ryhB,YidZ,RpoS,Fnr,Crp,Cra,ArcA,MarA,SoxS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11325
b1136,0.0499153715671495,icd,isocitrate dehydrogenase,Energy production and conversion,"RpoD,ArcA,Cra,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10489
b0330,0.0493746385906463,prpR,DNA-binding transcriptional dual regulator PrpR,Transcription,"RpoD,PrpR,AscG,Crp,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6195
b0836,0.0483444539323596,bssR,regulator of biofilm formation,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
b3605,0.0482110506813086,lldD,L-lactate dehydrogenase,Energy production and conversion,"RpoD,ArcA,LldR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11963
b3819,0.0479120901902705,rarD,putative transporter RarD,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11466
b3350,0.0477564788854741,kefB,K(+) : H(+) antiporter KefB,Inorganic ion transport and metabolism,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG20110
b0720,0.0462571232487903,gltA,citrate synthase,Energy production and conversion,"RpoD,YdcI,IHF,Crp,ArcA,ppGpp,Nac,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10402
b3846,0.046109832933207,fadB,dodecenoyl-CoA delta-isomerase%2C enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C 3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,"RpoD,YidZ,FadR,Fis,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10279
b1165,0.0457054369306458,ymgA,putative two-component system connector protein YmgA,Function unknown,"RpoD,RpoS,BluR,ppGpp,MarA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6605
b0760,0.0454977672150077,modF,ABC family protein ModF,Inorganic ion transport and metabolism,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11677
b2172,0.0448860571532191,yeiQ,putative dehydrogenase%2C NAD-dependent,Carbohydrate transport and metabolism,"YfeC,YqhC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12036
b2288,0.0442646794382399,nuoA,NADH:quinone oxidoreductase subunit A,Energy production and conversion,"RpoD,NarL,ArcA,IHF,Fis,Fnr,Lrp,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12082
b1014,0.043977226459855,putA,fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA,Transcription,"RpoD,YeiE,YbaQ,MarA,BasR,ppGpp,PutA,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10801
b3425,0.0430489280548806,glpE,thiosulfate sulfurtransferase GlpE,Inorganic ion transport and metabolism,"Crp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10395
b3523,0.042524835510793,yhjE,putative transporter YhjE,Inorganic ion transport and metabolism,"ppGpp,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12249
b0904,-0.0452915899974737,focA,formate channel FocA,Inorganic ion transport and metabolism,"RpoD,YqhC,ArcA,Crp,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11258
b3409,-0.0469293353975315,feoB,Fe(2(+)) transporter FeoB,Inorganic ion transport and metabolism,"RpoD,YcjW,Fur,Fnr,NagC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12102
b3408,-0.051232077762735,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,"RpoD,Fur,Fnr,NagC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b0734,-0.0528551623927504,cydB,cytochrome bd-I ubiquinol oxidase subunit II,Energy production and conversion,"RpoD,ArcA,Cra,H-NS,HypT,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10174
b0733,-0.0619436624456562,cydA,cytochrome bd-I ubiquinol oxidase subunit I,Energy production and conversion,"RpoD,ryhB,YidZ,ArcA,Cra,H-NS,HypT,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10173
b2847,-0.0621772932746502,yqeI,putative transcriptional regulator YqeI,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7467
b0558,-0.070516547302917,ybcV,DLP12 prophage%3B protein YbcV,Amino acid transport and metabolism,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6313
b0564,-0.0718077696792617,appY,DNA-binding transcriptional activator AppY,Transcription,"RpoD,RpoS,DpiA,ArcA,H-NS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10050
b0848,-0.0746358044157233,ybjM,putative inner membrane protein,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6446
b0559,-0.0764618870039379,ybcW,DLP12 prophage%3B protein YbcW,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6314
