locus,gene_weight,gene_name,gene_product,COG,operon,regulator,NhaR,link
b1022,0.23536317480000002,pgaC,poly-N-acetyl-D-glucosamine synthase subunit PgaC,Cell wall/membrane/envelope biogenesis,pgaABCD,"OmpR,NhaR,CsrA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6529
b1023,0.20666306710000001,pgaB,poly-beta-1%2C6-N-acetyl-D-glucosamine N-deacetylase and beta-1%2C6 glycoside hydrolase,Cell wall/membrane/envelope biogenesis,pgaABCD,"OmpR,NhaR,CsrA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6530
b1021,0.2051202217,pgaD,poly-N-acetyl-D-glucosamine synthase subunit PgaD,Function unknown,pgaABCD,"ppGpp,OmpR,NhaR,CsrA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6528
b1024,0.19472999470000002,pgaA,partially deacetylated poly-beta-1%2C6-N-acetyl-D-glucosamine outer membrane porin,Function unknown,pgaABCD,"mcaS,OmpR,NhaR,CsrA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6531
b1902,0.1845225164,ftnB,putative ferritin-like protein,Inorganic ion transport and metabolism,ftnB,"RpoD,RpoE,CpxR,ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7033
b1566,0.11849481440000001,flxA,Qin prophage%3B protein FlxA,No COG annotation,flxA,"Fis,FliA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
b1635,0.1147233876,gstA,glutathione S-transferase GstA,"Post-translational modification, protein turnover,and chaperones",gstA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6878
b2426,0.1089857768,ucpA,putative oxidoreductase,Lipid transport and metabolism,ucpA,YbcM,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12133
b3896,0.1054964317,yiiG,DUF3829 domain-containing lipoprotein YiiG,Function unknown,yiiG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11860
b0607,0.10354423360000001,uspG,universal stress protein G,Signal transduction mechanisms,uspG,"YfeD,ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6334
b2399,0.102743077,yfeD,putative DNA-binding transcriptional regulator YfeD,"Replication, recombination and repair",yfeCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11432
b4138,0.1016248539,dcuA,C4-dicarboxylate transporter DcuA,Function unknown,aspA-dcuA,"RpoD,Fnr,Crp,NarL,DcuR,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11225
b2251,0.091967057,nudI,pyrimidine deoxynucleotide diphosphatase NudI,"Replication, recombination and repair",nudI,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7164
b4139,0.0851483473,aspA,aspartate ammonia-lyase,Amino acid transport and metabolism,aspA-dcuA,"RpoD,Fnr,Crp,NarL,DcuR,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10095
b3157,0.0833334771,yhbT,SCP2 domain-containing protein YhbT,Lipid transport and metabolism,yhbTS,"YciT,YbcM,CsgD,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7651
b3156,0.0827475855,yhbS,putative acyltransferase with acyl-CoA N-acyltransferase domain,Function unknown,yhbTS,CsgD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7650
b0020,0.0826473241,nhaR,DNA-binding transcriptional activator NhaR,Transcription,nhaAR,"RpoD,RpoS,H-NS,NhaR,CsrA,YdeO",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11078
b4145,0.07869537780000001,yjeJ,protein YjeJ,Function unknown,yjeJ,"YidZ,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7835
b1535,0.0770525344,dgcZ,diguanylate cyclase DgcZ,Signal transduction mechanisms,dgcZ,"RpoD,CysB,CpxR,CsrA,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11643
b0442,0.07632662600000001,ybaV,helix-hairpin-helix 3 family protein,"Replication, recombination and repair",ybaV,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6243
b2622,0.0753589105,intA,CP4-57 prophage%3B integrase,"Replication, recombination and repair",intA,"ppGpp,AlpA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11783
b4111,0.073209995,proP,osmolyte:H(+) symporter ProP,Amino acid transport and metabolism,proP,"RpoD,YidZ,YebK,YhjC,YedW,RpoS,Crp,Fis,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11612
b2398,0.0730556289,yfeC,putative DNA-binding transcriptional regulator YfeC,"Replication, recombination and repair",yfeCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11431
b3432,0.0715284811,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,glgBXCAP,"PhoP,RpoD,YfeD,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10378
b2799,0.0712363398,fucO,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,fucAO,"RpoD,YdcN,Crp,FucR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b0076,0.070005576,leuO,DNA-binding transcriptional dual regulator LeuO,Transcription,leuO,"RpoD,StpA,LeuO,LrhA,RcsB-BglJ,SlyA,H-NS,Lrp,Nac,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10531
b3051,0.0693121268,yqiK,protein YqiK,Function unknown,yqiJK,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7589
b1025,0.06776437490000001,dgcT,putative diguanylate cyclase DgcT,Signal transduction mechanisms,dgcT,"RpoD,YciT,ppGpp,CsrA,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6532
b3207,0.0667616998,yrbL,protein kinase-like domain-containing protein YrbL,Transcription,yrbL,"YcjW,SoxR,SoxS,BasR,PhoP",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7667
b0141,0.06642395870000001,yadN,putative fimbrial protein YadN,Cell motility,,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12328
b0261,0.060311970900000005,mmuM,homocysteine S-methyltransferase,Amino acid transport and metabolism,mmuPM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6136
b1446,0.0596998086,ydcY,DUF2526 domain-containing protein YdcY,Function unknown,ydcY,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6757
b1686,0.0584715904,menI,1%2C4-dihydroxy-2-naphthoyl-CoA hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",ydiJ-menI-ydiH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6912
b0412,0.058136782500000005,yajI,putative lipoprotein YajI,Cell wall/membrane/envelope biogenesis,yajI,YfeC,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12874
b3430,0.057487881500000004,glgC,glucose-1-phosphate adenylyltransferase,Nucleotide transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,ppGpp,CsrA,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10379
b0688,0.0565629725,pgm,phosphoglucomutase,Carbohydrate transport and metabolism,seqA-pgm,HU,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12144
b3107,0.054914944900000005,yhaL,uncharacterized protein YhaL,No COG annotation,yhaKL,YhaJ,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7621
b3428,0.0546610192,glgP,glycogen phosphorylase,Carbohydrate transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,CsrA,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10380
b2800,0.0544667051,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,fucAO,"RpoD,Crp,FucR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2123,0.0533870933,yehR,DUF1307 domain-containing lipoprotein YehR,Function unknown,,RpoH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12004
b3097,0.0504437316,yqjC,DUF1090 domain-containing protein YqjC,Function unknown,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7611
b4396,0.0492597571,rob,DNA-binding transcriptional dual regulator Rob,Transcription,rob,"MarA,Rob,SoxS,OmpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11366
b2240,0.0490681779,glpT,sn-glycerol 3-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,glpTQ,"RpoD,Fis,Fnr,Crp,IHF,GlpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10401
b0870,0.049065819600000005,ltaE,low-specificity L-threonine aldolase,Amino acid transport and metabolism,hcp-hcr-poxB-ltaE-ybjT,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6455
b3369,0.0488083549,yhfL,DUF4223 domain-containing lipoprotein YhfL,Function unknown,yhfL,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7722
b3800,0.048644444200000005,aslB,putative anaerobic sulfatase maturation enzyme AslB,Energy production and conversion,aslB,"Rob,YgaV,YeaM,RpoN,GadE-RcsB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10090
b1482,0.048486835900000004,osmC,osmotically inducible peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",osmC,"RpoD,RpoS,H-NS,ppGpp,Lrp,RcsB,NhaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10680
b0110,0.048361744400000004,ampD,1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase,Defense mechanisms,ampDE,"YfeD,Crp,ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10041
b1549,0.0483096129,ydfO,Qin prophage%3B protein YdfO,Amino acid transport and metabolism,ynfO-ydfO,"ppGpp,Fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6822
b1872,0.0476339142,torZ,trimethylamine N-oxide reductase 2,Energy production and conversion,torYZ,YbiH,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7022
b1719,0.0474863245,thrS,threonine--tRNA ligase,"Translation, ribosomal structure and biogenesis",thrS-infC-rpmI-rplT-pheMST-ihfA,"YidZ,NsrR,DksA,Nac,ThrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11001
b0650,0.0474791159,hscC,chaperone protein HscC,"Post-translational modification, protein turnover,and chaperones",hscC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6357
b0489,0.0473244523,qmcA,PHB domain-containing protein,"Post-translational modification, protein turnover,and chaperones",qmcA-ybbJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6265
b1452,0.047206893900000005,yncE,PQQ-like domain-containing protein YncE,Function unknown,yncE,"MarA,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b1764,0.0470431176,selD,selenide%2C water dikinase,Nucleotide transport and metabolism,ydjA-selD-topB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10943
b3429,0.046818674500000004,glgA,glycogen synthase,Nucleotide transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,CsrA,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10377
b3411,0.046732019900000005,rpnA,recombination-promoting nuclease RpnA,Function unknown,rpnA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11750
b2957,0.0465878505,ansB,L-asparaginase 2,Amino acid transport and metabolism,ansB,"RpoD,Fis,Crp,Fnr,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10046
b2427,0.0464914575,murR,DNA-binding transcriptional dual regulator MurR,Transcription,murR,"RpoD,RpoS,MurR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7262
