locus,gene_weight,gene_name,gene_product,cog,regulator,ExsB,link
PA1707,0.2035074256,pcrH,regulatory protein PcrH,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1707&e1=1&assembly=complete
PA1708,0.18473631270000002,popB,translocator protein PopB,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1708&e1=1&assembly=complete
PA1709,0.1817571925,popD,translocator outer membrane protein PopD,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1709&e1=1&assembly=complete
PA1706,0.1780882266,pcrV,type III secretion protein PcrV,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1706&e1=1&assembly=complete
PA1698,0.16415681740000002,popN,type III secretion outer membrane protein PopN,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1698&e1=1&assembly=complete
PA1701,0.1628995529,PA1701,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1701&e1=1&assembly=complete
PA1697,0.162532012,PA1697,type III secretion system ATPase,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1697&e1=1&assembly=complete
PA1705,0.1595572872,pcrG,type III secretion regulator,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1705&e1=1&assembly=complete
PA3842,0.1530817958,PA3842,chaperone,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3842&e1=1&assembly=complete
PA0044,0.15193145830000002,exoT,exoenzyme T,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0044&e1=1&assembly=complete
PA1719,0.1505522221,pscF,type III export protein PscF,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1719&e1=1&assembly=complete
PA3841,0.1480988685,exoS,exoenzyme S,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3841&e1=1&assembly=complete
