locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Trp-tRNA,TrpR,L-tryptophan,link
b1264,0.4689220307,trpE,anthranilate synthase subunit TrpE,Amino acid transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA,rydC",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11028
b1263,0.4181905134,trpD,anthranilate synthase subunit TrpD,Nucleotide transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11027
b3161,0.37627984870000003,mtr,tryptophan:H(+) symporter Mtr,Amino acid transport and metabolism,mtr,"RpoD,IHF,HU,TyrR,TrpR,Lrp",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10617
b1262,0.2905115152,trpC,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,trpLEDCBA,"RpoD,ppGpp,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11026
b1261,0.2660099367,trpB,tryptophan synthase subunit beta,Amino acid transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11025
b1260,0.252021698,trpA,tryptophan synthase subunit alpha,Amino acid transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11024
b1704,0.13863116080000001,aroH,3-deoxy-7-phosphoheptulonate synthase%2C Trp-sensitive,Amino acid transport and metabolism,aroH,"RpoD,YeiE,TrpR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10080
b4393,0.0791114374,trpR,DNA-binding transcriptional repressor TrpR,Transcription,trpR,"RpoD,TrpR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11029
b0388,0.0694985812,aroL,shikimate kinase 2,Nucleotide transport and metabolism,aroL-yaiA-aroM,"RpoD,TyrR,TrpR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10082
b3709,-0.06453509860000001,tnaB,tryptophan:H(+) symporter TnaB,Amino acid transport and metabolism,tnaCAB,"RpoD,Crp,TorR,Nac,L-tryptophan",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11006
