locus,comp,gene_name,product,operon,TF,cbl,cysB,link
b0937,0.22345297787700005,ssuE,NADPH-dependent FMN reductase,"ssuE, ssuA, ssuD, ssuC, ssuB","Sigma70, cbl, cra, cysB, fnr, gcvB, ihf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6479
b0365,0.21822991616,tauA,taurine ABC transporter - periplasmic binding protein,"tauA, tauB, tauC, tauD","cbl, cysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6217
b0367,0.216589017915,tauC,taurine ABC transporter - membrane subunit,"tauA, tauB, tauC, tauD","cbl, cysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6219
b0366,0.19517151620099998,tauB,taurine ABC transporter - ATP binding subunit,"tauA, tauB, tauC, tauD","cbl, cysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6218
b0368,0.177913418364,tauD,taurine dioxygenase,"tauA, tauB, tauC, tauD","cbl, cysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12423
b0936,0.177398945834,ssuA,aliphatic sulfonate ABC transporter - periplasmic binding protein,"ssuE, ssuA, ssuD, ssuC, ssuB","Sigma70, cbl, cra, cysB, fnr, ihf, yeiE",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6478
b0935,0.17135557674000002,ssuD,"alkanesulfonate monooxygenase, FMNH<sub>2</sub>-dependent","ssuE, ssuA, ssuD, ssuC, ssuB","Sigma70, cbl, cra, cysB, fnr, ihf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6477
b0934,0.16195227462200001,ssuC,aliphatic sulfonate ABC transporter - membrane subunit,"ssuE, ssuA, ssuD, ssuC, ssuB","Sigma70, cbl, cra, cysB, fnr, ihf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6476
b3917,0.150832769007,sbp,sulfate / thiosulfate ABC transporter - periplasmic binding protein Sbp,sbp,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b4326,0.10554798500399999,iraD,"anti-adaptor protein IraD, inhibitor of &sigma;<sup>S</sup> proteolysis",iraD,"Sigma38, Sigma70, fnr",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7923
