locus,comp,gene_name,product,operon,TF,narL,link
b2205,0.216274272284,napG,ferredoxin-type protein,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, iscR, lrp, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12064
b2203,0.202265288212,napB,"subunit of periplasmic nitrate reductase, cytochrome c<SUB>550</SUB> protein",napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, iscR, lrp, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12061
b2206,0.19300683479400002,napA,"large subunit of periplasmic nitrate reductase, molybdoprotein",napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, iscR, lrp, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12067
b2204,0.18770727968400008,napH,ferredoxin-type protein,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, iscR, lrp, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12062
b3367,0.17923031137899995,nirC,nitrite transporter NirC,nirBDC-cysG,"cra, crp, fis, fnr, h-NS, ihf, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
b1223,0.17389290503600002,narK,nitrate:nitrite antiporter NarK,narK,"fis, fnr, ihf, nac, narL, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1227,0.162455700708,narI,"nitrate reductase A, &gamma; subunit",narGHJI,"fis, fnr, ihf, narL, rpoD, rstA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10640
b3366,0.16136316747,nirD,"nitrite reductase, small subunit",nirBDC-cysG,"cra, crp, fis, fnr, h-NS, ihf, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b3365,0.15403193289699998,nirB,"nitrite reductase, large subunit",nirBDC-cysG,"cra, crp, fis, fnr, h-NS, ihf, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b1225,0.152570624969,narH,"nitrate reductase A, &beta; subunit",narGHJI,"fis, fnr, ihf, narL, rpoD, rstA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10639
b1226,0.15039242936799999,narJ,molybdenum cofactor assembly chaperone subunit (&delta; subunit) of nitrate reductase 1,narGHJI,"fis, fnr, ihf, narL, rpoD, rstA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10641
b1224,0.140729631032,narG,"nitrate reductase A, &alpha; subunit",narGHJI,"fis, fnr, ihf, narL, rpoD, rstA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
