,gene_name,start,length,operon,gene_product,regulator
zntA,zntA,2199.0,2199.0,zntA,"Confers resistance to zinc, cadmium and lead","['rpoD', 'zntR']"
rpoS,rpoS,993.0,993.0,nlpD-rpoS,Amino acid transport and metabolism,"['arcA', 'crp', 'fur', 'gadX', 'mqsA', 'rpoD']"
rihC,rihC,915.0,915.0,rihC,Amino acid transport and metabolism,[]
ypfH,ypfH,699.0,699.0,ypfH,Amino acid transport and metabolism,[]
alsI,alsI,450.0,450.0,alsI,Function unknown,[]
ygdQ,ygdQ,714.0,714.0,ygdQ,Function unknown,[]
yabP,yabP,579.0,579.0,yabPQ,Amino acid transport and metabolism,[]
ypfJ,ypfJ,864.0,864.0,ypfJ,Carbohydrate transport and metabolism,[]
talB,talB,954.0,954.0,talB,Coenzyme transport and metabolism,[]
yqeI,yqeI,810.0,810.0,yqeIJ,Function unknown,[]
yabI,yabI,765.0,765.0,yabI,Function unknown,"['rpoS', 'yeiE']"
hda,hda,702.0,702.0,hda,Function unknown,[]
talA,talA,951.0,951.0,talA-tktB,"Posttranslational modification, protein turnover, chaperones","['creB', 'rpoS']"
ygeH,ygeH,1377.0,1377.0,ygeH,"Posttranslational modification, protein turnover, chaperones","['cysB', 'rpoD']"
ilvI,ilvI,1725.0,1725.0,ilvIH,"Replication, recombination and repair","['h-NS', 'lrp', 'rpoD', 'yeiE']"
yfgB,yfgB,384.0,384.0,yfgB,Function unknown,[]
pfkB,pfkB,930.0,930.0,pfkB,No COG Annotation,"['argR', 'nac', 'rpoS']"
ygeY,ygeY,1212.0,1212.0,ygeY,Inorganic ion transport and metabolism,[]
secM,secM,513.0,513.0,secMA-mutT,Transcription,[]
iscS,iscS,1215.0,1215.0,iscRSUA,"Replication, recombination and repair","['iscR', 'rpoD']"
setB,setB,1182.0,1182.0,setB,"Replication, recombination and repair",['crp']
ygiL,ygiL,552.0,552.0,ygiL,"Translation, ribosomal structure and biogenesis",['nac']
yacL,yacL,363.0,363.0,yacL,Function unknown,[]
iscR,iscR,489.0,489.0,iscRSUA,Coenzyme transport and metabolism,"['iscR', 'rpoD']"
crp,crp,633.0,633.0,crp,"Translation, ribosomal structure and biogenesis","['cra', 'crp', 'fis', 'rpoD']"
eaeH,eaeH,872.0,872.0,eaeH-insE-1EF-1F-1,Cell wall/membrane/envelope biogenesis,[]
