locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,NanR,link
b2838,0.2062419848461253,lysA,diaminopimelate decarboxylase,Amino acid transport and metabolism,"RpoD,LysR,ArgP,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10549
b4311,0.2038624420599935,nanC,N-acetylneuraminic acid outer membrane channel,Cell wall/membrane/envelope biogenesis,"Crp,NagC,NanR,spf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7921
b3225,0.1828542013714109,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,"RpoD,Fis,Crp,NanR,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b3224,0.1776223272211266,nanT,N-acetylneuraminate:H(+) symporter,Amino acid transport and metabolism,"RpoD,Fis,Crp,NanR,spf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G436
b3223,0.161282830837299,nanE,putative N-acetylmannosamine-6-phosphate epimerase,Carbohydrate transport and metabolism,"RpoD,Fis,Crp,NanR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7677
b4279,0.1389432136890168,yjhB,putative sialic acid transporter,Inorganic ion transport and metabolism,"RpoH,NanR,NanR,RpoH",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12544
b3222,0.1289459354941506,nanK,N-acetylmannosamine kinase,Nucleotide transport and metabolism,"RpoD,Fis,Crp,NanR,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7676
b3221,0.1081213263795112,yhcH,DUF386 domain-containing protein YhcH,Carbohydrate transport and metabolism,"RpoD,Fis,NanR,Crp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7675
b4280,0.1042371779117094,yjhC,KpLE2 phage-like element%3B putative oxidoreductase YjhC,Function unknown,"RpoD,RpoH,NanR,NanR,RpoH,RpoD",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7901
b4310,0.0974706865331683,nanM,N-acetylneuraminate mutarotase,Cell wall/membrane/envelope biogenesis,"Crp,NagC,NanR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7920
b0002,0.0924686234713134,thrA,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,Fnr,ArcA,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10998
b4309,0.0904301177327522,nanS,N-acetyl-9-O-acetylneuraminate esterase,Function unknown,"YciT,Crp,NagC,NanR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7919
b4116,-0.089499657365435,adiY,DNA-binding transcriptional activator AdiY,Transcription,"YieP,H-NS,sgrS",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11966
