locus,gene_weight,gene_name,gene_product,cog,operon,regulator,S-box,link
new_2022468_2022560_c,0.19072185700000002,S688,intergenic region,No COG category,,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2022468_2022560_c
BSU_18550,0.190180818,yoaC,unknown,Carbohydrate transport and metabolism,yoaD->yoaB,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18550
BSU_18540,0.180831512,yoaB,2-oxoglutarate permease (proton symporter),Amino acid transport and metabolism,yoaD->yoaB,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18540
BSU_18560,0.179302016,yoaD,unknown,Amino acid transport and metabolism,yoaD->yoaB,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18560
BSU_11010,0.17224071500000002,yitJ,"bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase",Amino acid transport and metabolism,yitJ,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11010
new_1383187_1383294_c,0.159572329,S469,intergenic region,No COG category,,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1383187_1383294_c
BSU_13180,0.15534471400000002,metE,methionine synthase,Amino acid transport and metabolism,metE,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13180
new_2025088_2025159_c,0.14837182100000001,S689,intergenic region,No COG category,,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2025088_2025159_c
BSU_38950,0.129437881,yxjH,putative methionine synthase,Amino acid transport and metabolism,yxjH,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38950
new_1385609_1385671_c,0.127690372,S470,5'UTR of metE,No COG category,,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1385609_1385671_c
new_1260806_1262335,0.12254500300000001,S428,3'UTR of metC,No COG category,,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1260806_1262335
BSU_11870,0.11964424300000001,metI,"O-succinylhomoserine lyase (L-cysteine, H<sub>2</sub>S, methanethiol, elimination)",Amino acid transport and metabolism,metI->metC,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11870
BSU_11880,0.11671408800000001,metC,cystathionine beta-lyase,No COG category,metI->metC,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11880
BSU__misc_RNA_31,0.115474875,BSU_misc_RNA_31,,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_31
BSU_38960,0.114754083,yxjG,putative methionine synthase,No COG category,yxjG,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38960
BSU_13170,0.10561482100000001,guaD,guanine deaminase,Nucleotide transport and metabolism,guaD,"SigA,PucR,SigB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13170
new_3999273_3999349,0.094168339,S1499,intergenic region,No COG category,,S-box,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3999273_3999349
BSU_13590,0.093372488,mtnW,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase",Carbohydrate transport and metabolism,mtnW->mtnD,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13590
BSU_13620,0.086170746,mtnD,"1,2,-dihydroxy-3-keto-5-methylthiopentene dioxygenase",Function unknown,mtnW->mtnD,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13620
BSU_13600,0.08481402,mtnX,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,Amino acid transport and metabolism,mtnW->mtnD,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13600
BSU_13610,0.083523818,mtnB,methylthioribulose-1-phosphate dehydratase,Amino acid transport and metabolism,mtnW->mtnD,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13610
BSU__misc_RNA_12,0.078894949,BSU_misc_RNA_12,,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_12
BSU_32750,0.07714712600000001,metN,methionine [SW|ABC transporter ](ATP-binding protein),Inorganic ion transport and metabolism,metN->metQ,"CodY,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32750
BSU__misc_RNA_15,0.076327722,BSU_misc_RNA_15,,No COG category,,"SigA,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_15
BSU_28910,-0.08210143,pftA,pyruvate transporter,Function unknown,pftA->pftB,"LytT,Kre,CcpA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28910
