locus,gene_weight,gene_name,gene_product,cog,operon,regulator,XylR,Crp,link
b3566,0.3621916162,xylF,xylose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR,spf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20252
b3565,0.3517605223,xylA,xylose isomerase,Carbohydrate transport and metabolism,xylAB,"Crp,AraC,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11074
b4031,0.2805747657,xylE,D-xylose:H(+) symporter,Amino acid transport and metabolism,xylE,"RpoD,XylR,Crp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11076
b3567,0.2774226621,xylG,xylose ABC transporter ATP binding subunit,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12275
b3564,0.2530201479,xylB,xylulokinase,Nucleotide transport and metabolism,xylAB,"YeiE,Crp,AraC,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11075
b3568,0.2482165787,xylH,xylose ABC transporter membrane subunit,Carbohydrate transport and metabolism,xylFGHR,"Fis,Crp,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12276
b0270,0.20840036350000002,yagG,putative D-xylonate transporter YagG,Carbohydrate transport and metabolism,yagGH,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6142
b3657,0.20210725940000002,yicJ,putative xyloside transporter YicJ,Carbohydrate transport and metabolism,yicJI,"RpoE,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11686
b0271,0.1879344974,yagH,CP4-6 prophage%3B putative xylosidase/arabinosidase,Carbohydrate transport and metabolism,yagGH,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6143
b3656,0.1531648082,yicI,alpha-D-xyloside xylohydrolase,Carbohydrate transport and metabolism,yicJI,"YdcN,YdcR,RpoE,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11685
b3569,0.1505735298,xylR,DNA-binding transcriptional dual regulator XylR,Transcription,xylFGHR,"Fis,ArcA,Crp,XylR,ppGpp,dicF",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20253
b3562,0.0910151861,yiaA,conserved inner membrane protein YiaA,Function unknown,yiaA,RpoH,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11186
b3563,0.08937194920000001,yiaB,conserved inner membrane protein YiaB,Function unknown,yiaB,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11267
