locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,ExsB,link
PA1707,0.209271653,pcrH,,regulatory protein PcrH,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1707&e1=1&assembly=complete
PA1708,0.187102132,popB,,translocator protein PopB,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1708&e1=1&assembly=complete
PA1709,0.185844283,popD,,translocator outer membrane protein PopD,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1709&e1=1&assembly=complete
PA1706,0.17994500700000002,pcrV,,type III secretion protein PcrV,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1706&e1=1&assembly=complete
PA1705,0.172336278,pcrG,,type III secretion regulator,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1705&e1=1&assembly=complete
PA1698,0.16967752900000002,popN,,type III secretion outer membrane protein PopN,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1698&e1=1&assembly=complete
PA1701,0.164366382,PA1701,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1701&e1=1&assembly=complete
PA1697,0.161984556,PA1697,,type III secretion system ATPase,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1697&e1=1&assembly=complete
PA3842,0.15464719100000002,PA3842,,chaperone,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3842&e1=1&assembly=complete
PA3841,0.15108631,exoS,,exoenzyme S,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3841&e1=1&assembly=complete
PA0044,0.15079452000000002,exoT,,exoenzyme T,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0044&e1=1&assembly=complete
PA1719,0.149456999,pscF,,type III export protein PscF,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1719&e1=1&assembly=complete
PA1699,0.14453628400000001,PA1699,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1699&e1=1&assembly=complete
PA1712,0.142325909,exsB,,exoenzyme S synthesis protein ExsB,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1712&e1=1&assembly=complete
PA1694,0.139824456,pscQ,,type III secretion system protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1694&e1=1&assembly=complete
PA1717,0.139358126,pscD,,type III export protein PscD,Signal transduction mechanisms,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1717&e1=1&assembly=complete
PA1696,0.13598752,pscO,,translocation protein in type III secretion,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1696&e1=1&assembly=complete
PA1711,0.135871178,PA1711,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1711&e1=1&assembly=complete
PA1715,0.134161302,pscB,,type III export apparatus protein,"Post-translational modification, protein turnover,and chaperones",ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1715&e1=1&assembly=complete
PA2191,0.133233191,exoY,,adenylate cyclase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2191&e1=1&assembly=complete
PA1716,0.13194307700000002,pscC,,type III secretion outer membrane protein PscC,Cell motility,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1716&e1=1&assembly=complete
