locus,gene_weight,gene_name,gene_product,cog,operon,regulator,RpoH,link
b3686,0.2226693526,ibpB,small heat shock protein IbpB,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoN,RpoH,IHF,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11535
b3687,0.2072247821,ibpA,small heat shock protein IbpA,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11534
b0014,0.1916240119,dnaK,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones",dnaK-tpke11-dnaJ,"YbiH,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10241
b4142,0.190992547,groS,cochaperonin GroES,"Post-translational modification, protein turnover,and chaperones",groSL,"RpoD,RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10600
b0473,0.1835177852,htpG,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones",htpG,"YeiE,RpoN,RpoH,gcvB,AscG,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10461
b4143,0.1774954912,groL,chaperonin GroEL,"Post-translational modification, protein turnover,and chaperones",groSL,"RpoD,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10599
b2592,0.1670370953,clpB,ClpB chaperone,"Post-translational modification, protein turnover,and chaperones",clpB,"RpoD,ryfD,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10157
b0015,0.1411661544,dnaJ,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",dnaK-tpke11-dnaJ,"RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10240
b1321,0.1367809143,ycjX,DUF463 domain-containing protein YcjX,Function unknown,ycjXF-tyrR,"YbiH,RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6659
b4140,0.1216570534,fxsA,protein FxsA,Function unknown,fxsA,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7832
b3932,0.11619202940000001,hslV,peptidase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",hslVU,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11676
b3931,0.1121918489,hslU,ATPase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",hslVU,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11881
b1322,0.107605249,ycjF,conserved inner membrane protein YcjF,Function unknown,ycjXF-tyrR,"RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12870
