locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArgR,link
PN96_RS15010,0.2150141242178113,argB,acetylglutamate kinase,Nucleotide transport and metabolism,Op3031,ArgR,True,
PN96_RS15015,0.2141468056690417,PN96_RS15015,argininosuccinate synthase,Nucleotide transport and metabolism,Op3031,ArgR,True,
PN96_RS15005,0.1979207888822618,argC,N-acetyl-gamma-glutamyl-phosphate reductase,Amino acid transport and metabolism,Op3031,ArgR,True,
PN96_RS00585,0.1683300952567694,argF,ornithine carbamoyltransferase,Amino acid transport and metabolism,Op125,"ArgR,Crp",True,
PN96_RS15020,0.1589293158729912,argH,argininosuccinate lyase,Amino acid transport and metabolism,Op3031,ArgR,True,
PN96_RS21610,0.152290870343718,PN96_RS21610,lysine/arginine/ornithine ABC transporter substrate-binding protein,Amino acid transport and metabolism,Op1724,ArgR,True,
PN96_RS21600,0.1521468150546424,artM,arginine ABC transporter permease ArtM,Inorganic ion transport and metabolism,Op1724,ArgR,True,
PN96_RS21615,0.151465296197623,artP,arginine ABC transporter ATP-binding protein ArtP,Amino acid transport and metabolism,Op1726,ArgR,True,
PN96_RS21605,0.1383570870916291,artQ,arginine ABC transporter permease ArtQ,Inorganic ion transport and metabolism,Op1724,ArgR,True,
PN96_RS02050,0.1254233551672231,argA,amino-acid N-acetyltransferase,Amino acid transport and metabolism,Op485,"ArgR,Lrp",True,
PN96_RS05010,0.0973670318598945,PN96_RS05010,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,Op1235,,False,
PN96_RS05020,0.0904725602611511,PN96_RS05020,amino acid ABC transporter permease,Inorganic ion transport and metabolism,Op1237,,False,
PN96_RS05015,0.0859327572183699,PN96_RS05015,ABC transporter permease subunit,Inorganic ion transport and metabolism,Op1237,,False,
PN96_RS11245,0.0845539519042987,gltB,glutamate synthase large subunit,Amino acid transport and metabolism,Op2590,HexR,False,
PN96_RS16370,-0.1189527590409232,PN96_RS16370,amidinotransferase,Function unknown,Op311,,False,
