locus,gene_weight,gene_name,gene_product,cog,operon,regulator,IHF,Crp,PaaX,link
b1389,0.2974892608,paaB,phenylacetyl-CoA 1%2C2-epoxidase subunit B,"Secondary metabolites biosynthesis, transport, and catabolism",paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6710
b1388,0.2339838394,paaA,phenylacetyl-CoA 1%2C2-epoxidase%2C monooxygenase subunit,Function unknown,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6709
b1390,0.22381895440000002,paaC,phenylacetyl-CoA 1%2C2-epoxidase%2C structural subunit,Function unknown,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6711
b1391,0.20169177600000002,paaD,phenylacetate degradation protein,"Replication, recombination and repair",paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6712
b1392,0.17363455960000002,paaE,phenylacetyl-CoA 1%2C2-epoxidase%2C reductase subunit,Energy production and conversion,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6713
b1393,0.1556087174,paaF,putative 2%2C3-dehydroadipyl-CoA hydratase,Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6714
b1387,0.14783092650000002,paaZ,oxepin-CoA hydrolase/3-oxo-5%2C6-dehydrosuberyl-CoA semialdehyde dehydrogenase,Energy production and conversion,paaZ,"Crp,IHF,PaaX",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6708
b1014,0.1086207336,putA,fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA,Transcription,putA,"RpoD,YeiE,YbaQ,MarA,ppGpp,BasR,PutA,ArcA",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10801
b1394,0.1055256195,paaG,putative ring 1%2C2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming),Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6715
b4120,0.083902538,melB,melibiose:H(+)/Na(+)/Li(+) symporter,Inorganic ion transport and metabolism,melAB,"RpoD,Crp,MelR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10578
