locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NorR2,link
PN96_RS05950,0.1926006392522971,PN96_RS05950,transcriptional initiation protein Tat,Function unknown,Op1491,,False,
PN96_RS05930,0.1761244202282741,PN96_RS05930,membrane protein,No COG annotation,Op1491,,False,
PN96_RS07680,0.173592033245007,hcp,hydroxylamine reductase,Energy production and conversion,Op1960,"NorR,NorR2",True,
PN96_RS05935,0.163998260010588,PN96_RS05935,formate dehydrogenase subunit gamma,Energy production and conversion,Op1491,,False,
PN96_RS05945,0.1597852558552642,PN96_RS05945,formate dehydrogenase subunit alpha,Energy production and conversion,Op1491,,False,
PN96_RS05940,0.1594028130935683,fdh3B,formate dehydrogenase FDH3 subunit beta,Energy production and conversion,Op1491,,False,
PN96_RS07685,0.148144300883918,PN96_RS07685,hybrid-cluster NAD(P)-dependent oxidoreductase,Energy production and conversion,Op1963,NorR2,True,
PN96_RS05955,0.1416075141629955,PN96_RS05955,molecular chaperone,Function unknown,Op1496,,False,
PN96_RS05960,0.1256586212020887,PN96_RS05960,4Fe-4S binding protein,Energy production and conversion,Op1496,,False,
PN96_RS05970,0.1150046163438018,PN96_RS05970,DUF3305 domain-containing protein,Function unknown,Op1499,,False,
