locus,gene_weight,gene_name,gene_product,cog,regulator,Sfa2,link
PA5267,0.2100342299,hcpB,secreted protein Hcp,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5267&e1=1&assembly=complete
PA0263,0.2016551527,hcpC,secreted protein Hcp,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0263&e1=1&assembly=complete
PA1512,0.1959117236,hcpA,secreted protein Hcp,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1512&e1=1&assembly=complete
PA5266,0.1246497387,PA5266,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5266&e1=1&assembly=complete
PA1666,0.11434964780000001,PA1666,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1666&e1=1&assembly=complete
PA1663,0.1074835576,sfa2,transcriptional regulator,Transcription,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1663&e1=1&assembly=complete
PA1665,0.1056145821,PA1665,hypothetical protein,Signal transduction mechanisms,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1665&e1=1&assembly=complete
PA3294,0.10487498220000001,PA3294,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3294&e1=1&assembly=complete
PA1671,0.1036662755,stk1,serine-threonine kinase Stk1,Transcription,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1671&e1=1&assembly=complete
PA3487,0.0976559037,pldA,phospholipase D,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3487&e1=1&assembly=complete
