locus,gene_weight,gene_name,gene_product,cog,operon,regulator,OxyR,link
PP_0481,0.1621398715199433,katA,Catalase,Energy production and conversion,Op311,OxyR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0481&e1=1&assembly=complete
PP_2440,0.1504765138371301,ahpF,Alkyl hydroperoxide reductase subunit F,Energy production and conversion,Op1586,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2440&e1=1&assembly=complete
PP_1834,0.1460936121543933,PP_1834,conserved protein of unknown function,Function unknown,Op1151,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1834&e1=1&assembly=complete
PP_1836,0.1149467372305615,PP_1836,putative metal transporter%2C ZIP family,Inorganic ion transport and metabolism,Op1153,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1836&e1=1&assembly=complete
PP_2309,0.1121579154177738,PP_2309,conserved protein of unknown function,"Replication, recombination and repair",Op1496,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2309&e1=1&assembly=complete
PP_4871,0.1058327608103142,PP_4871,putative lysine decarboxylase family protein,Function unknown,Op3178,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4871&e1=1&assembly=complete
PP_5373,0.1047474929279335,PP_5373,Rieske 2Fe-2S family protein,Inorganic ion transport and metabolism,Op3521,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5373&e1=1&assembly=complete
PP_2441,0.1038888765540841,PP_2441,conserved protein of unknown function,No COG annotation,Op1587,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2441&e1=1&assembly=complete
PP_1835,0.1031789728570379,PP_1835,conserved protein of unknown function,No COG annotation,Op1152,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1835&e1=1&assembly=complete
PP_2439,0.1026758430221711,ahpC,peroxiredoxin%2C alkylhydroperoxide reductase - small subunit,"Post-translational modification, protein turnover, and chaperones",Op1585,OxyR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2439&e1=1&assembly=complete
PP_2209,0.0967559327643236,phnW,2-aminoethylphosphonate--pyruvate transaminase,Amino acid transport and metabolism,Op1427,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2209&e1=1&assembly=complete
PP_0786,0.0944381545079501,trxB,thioredoxin reductase,Energy production and conversion,Op513,OxyR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0786&e1=1&assembly=complete
