locus,gene_weight,gene_name,gene_product,cog,operon,regulator,AbaM,link
ABUW_4103,0.1797846851,ABUW_4103,hypothetical protein,No COG annotation,,,False,
ABUW_4096,0.1733561664,ABUW_4096,hypothetical protein,No COG annotation,,,False,
ABUW_4099,0.1635781013,traE,conjugative transfer system protein TraE,Function unknown,,,False,
ABUW_4104,0.1611051744,traV,Membrane lipoprotein lipid attachment site precursor,Function unknown,,,False,
ABUW_4100,0.1587349707,traK,conjugative transfer system protein TraK,Function unknown,,,False,
ABUW_4097,0.156826397,ABUW_4097,hypothetical protein,No COG annotation,,,False,
ABUW_4095,0.1564946724,ABUW_4095,Soluble lytic murein transglycosylase,Cell wall/membrane/envelope biogenesis,,,False,
ABUW_4108,0.14927300840000002,traW,conjugative transfer protein,Function unknown,,,False,
ABUW_4101,0.1440427937,traB,TraB pilus assembly family protein precursor,Function unknown,,,False,
ABUW_4114,0.1436395303,traH,TraH family protein,Function unknown,,,False,
ABUW_4107,0.13467516870000001,ABUW_4107,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,,False,
ABUW_4109,0.13227280660000001,traU,TraU family protein precursor,Function unknown,,,False,
ABUW_4098,0.1304536591,traL,TraL,Function unknown,,,False,
ABUW_4102,0.1300781,ABUW_4102,protein-disulfide isomerase,"Post-translational modification, protein turnover,and chaperones",,,False,
ABUW_4105,0.1287210721,traC,Type IV secretory pathway%2C VirB4 component,"Intracellular trafficking, secretion, and vesicular transport",,,False,
ABUW_4106,0.1268140389,ABUW_4106,hypothetical protein,No COG annotation,,,False,
ABUW_4113,0.12264045820000001,ABUW_4113,hypothetical protein,No COG annotation,,,False,
ABUW_4094,0.12145984750000001,ABUW_4094,hypothetical protein,No COG annotation,,,False,
ABUW_4093,0.11957826170000001,ABUW_4093,hypothetical protein,No COG annotation,,,False,
ABUW_4115,0.1160357238,traG,TraG domain protein,Carbohydrate transport and metabolism,,,False,
ABUW_4027,0.1124459898,ABUW_4027,hypothetical protein,No COG annotation,,,False,
ABUW_4028,0.1111200002,ABUW_4028,Putative tellurique resistant protein,Inorganic ion transport and metabolism,,AbaM,True,
ABUW_4029,0.1030673514,ABUW_4029,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_4030,0.1025339383,ABUW_4030,hypothetical protein,No COG annotation,,,False,
ABUW_4110,0.1020057721,trbC,conjugative transfer protein,Function unknown,,,False,
ABUW_4082,0.0966131399,ABUW_4082,hypothetical protein,No COG annotation,,,False,
ABUW_4035,0.0920736793,ABUW_4035,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_4116,0.0892722814,ABUW_4116,Lytic transglycosylase catalytic,Function unknown,,,False,
ABUW_4036,0.0853756286,ABUW_4036,hypothetical protein,No COG annotation,,,False,
ABUW_4111,0.07950672930000001,traN,Mating pair stabilization TraN precursor,Function unknown,,,False,
ABUW_4081,0.0781834339,ABUW_4081,hypothetical protein,No COG annotation,,,False,
ABUW_4080,0.0746339798,ABUW_4080,hypothetical protein,No COG annotation,,,False,
ABUW_4032,0.07459786260000001,ABUW_4032,hypothetical protein,No COG annotation,,,False,
ABUW_4031,0.07342785830000001,ABUW_4031,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_3678,0.0719918595,tniA,transposase protein A,"Replication, recombination and repair",,,False,
ABUW_4008,0.0718190319,ABUW_4008,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_4074,0.0713274689,ABUW_4074,hypothetical protein,No COG annotation,,,False,
ABUW_4033,0.07063828800000001,ABUW_4033,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_2965,0.06969846960000001,ABUW_2965,hypothetical protein,No COG annotation,,,False,
ABUW_3677,0.06794017840000001,tniB,transposition protein B,"Replication, recombination and repair",,,False,
ABUW_4026,0.0673624219,ABUW_4026,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_4112,0.06529669020000001,traF,conjugal transfer protein TraF,Energy production and conversion,,,False,
ABUW_4009,0.0652784728,ABUW_4009,hypothetical protein,No COG annotation,,,False,
ABUW_4091,0.063899364,ABUW_4091,hypothetical protein,No COG annotation,,,False,
ABUW_4007,0.0635633137,ABUW_4007,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_4011,0.0633266578,ABUW_4011,hypothetical protein,No COG annotation,,,False,
ABUW_4069,0.061255325400000005,ABUW_4069,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,AbaM,True,
ABUW_3676,0.060817638400000006,tniC,transposition helper protein C,Function unknown,,,False,
ABUW_4025,0.0594194519,ABUW_4025,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_4002,0.058783575000000005,ABUW_4002,hypothetical protein,No COG annotation,,,False,
ABUW_4019,0.0569663344,ABUW_4019,hypothetical protein,No COG annotation,,AbaM,True,
ABUW_4003,0.056577767300000005,ABUW_4003,Zeta toxin family protein,Function unknown,,,False,
