locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PN96_RS11990,0.2301715618536328,cysD,sulfate adenylyltransferase subunit CysD,Coenzyme transport and metabolism,Op2686,,
PN96_RS11985,0.2156505097067526,cysN,sulfate adenylyltransferase subunit CysN,Coenzyme transport and metabolism,Op2686,,
PN96_RS11975,0.1935772536260956,cysC,adenylyl-sulfate kinase,Nucleotide transport and metabolism,Op2685,,
PN96_RS15165,0.1897882500988801,PN96_RS15165,assimilatory sulfite reductase (NADPH) flavoprotein subunit,Inorganic ion transport and metabolism,Op3050,,
PN96_RS11995,0.1894930353722049,cobA,uroporphyrinogen-III C-methyltransferase,Coenzyme transport and metabolism,Op2687,,
PN96_RS11980,0.1879307877822112,PN96_RS11980,SLC13 family permease,Inorganic ion transport and metabolism,Op2685,,
PN96_RS15170,0.1873449032998759,cysI,assimilatory sulfite reductase (NADPH) hemoprotein subunit,Coenzyme transport and metabolism,Op3050,,
PN96_RS15175,0.1662769631407593,PN96_RS15175,phosphoadenylyl-sulfate reductase,Amino acid transport and metabolism,Op3050,,
PN96_RS09630,0.1220067626482422,cysK,cysteine synthase A,Amino acid transport and metabolism,Op2401,,
PN96_RS15675,0.1048074632445563,PN96_RS15675,DMT family transporter,Amino acid transport and metabolism,Op107,,
