locus,gene_weight,gene_name,gene_product,cog,regulator,FpvR,link
PA2404,0.215225103,PA2404,hypothetical protein,Function unknown,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2404&e1=1&assembly=complete
PA2408,0.20496047620000002,PA2408,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2408&e1=1&assembly=complete
PA2409,0.2012384714,PA2409,ABC transporter permease,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2409&e1=1&assembly=complete
PA2406,0.19201020570000002,PA2406,hypothetical protein,No COG annotation,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2406&e1=1&assembly=complete
PA2407,0.1916023707,PA2407,adhesion protein,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2407&e1=1&assembly=complete
PA2403,0.18698360830000002,PA2403,hypothetical protein,Function unknown,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2403&e1=1&assembly=complete
PA2405,0.1763683262,PA2405,hypothetical protein,No COG annotation,"FpvR,PvdS,FpvI,PA1226",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2405&e1=1&assembly=complete
PA2384,0.1751396629,PA2384,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2384&e1=1&assembly=complete
PA2410,0.1375240846,PA2410,hypothetical protein,Inorganic ion transport and metabolism,"FpvR,PvdS,FpvI",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2410&e1=1&assembly=complete
PA2398,0.12676776650000002,fpvA,ferripyoverdine receptor,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2398&e1=1&assembly=complete
