locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoN,NtrC,link
b1011,0.3371362724,rutB,peroxyureidoacrylate/ureidoacrylate amidohydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6522
b1012,0.3279922541,rutA,pyrimidine oxygenase,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,RpoN,NtrC,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6523
b1009,0.29919687570000003,rutD,putative aminoacrylate hydrolase,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6520
b1010,0.2920353268,rutC,putative aminoacrylate peracid reductase,"Translation, ribosomal structure and biogenesis",rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6521
b1008,0.2777719428,rutE,putative malonic semialdehyde reductase,Energy production and conversion,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6519
b1007,0.25128460410000003,rutF,flavin reductase,Energy production and conversion,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6518
b1006,0.2083768764,rutG,pyrimidine:H(+) symporter,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6517
b0451,0.1156016738,amtB,ammonia/ammonium transporter,Inorganic ion transport and metabolism,glnK-amtB,"RpoN,GadX,Fnr,NtrC,Fur",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11821
b1487,0.1119459034,ddpA,putative D%2CD-dipeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6781
b1488,0.11138323400000001,ddpX,D-alanyl-D-alanine dipeptidase,Cell wall/membrane/envelope biogenesis,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6782
b1486,0.1008020459,ddpB,putative D%2CD-dipeptide ABC transporter membrane subunit DdpB,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6780
b1987,0.10042462070000001,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b1484,0.0974168787,ddpD,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpD,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6778
b1483,0.09680886620000001,ddpF,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpF,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b3268,0.0896040327,yhdW,putative ABC transporter periplasmic binding protein YhdW,No COG annotation,,"NtrC,RpoN,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12834
b1485,0.0852334446,ddpC,putative D%2CD-dipeptide ABC transporter membrane subunit DdpC,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6779
b0450,0.0827281007,glnK,nitrogen regulator GlnK,Transcription,glnK-amtB,"RpoN,GadX,NtrC,Fur,Fnr,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12191
b1596,0.0765310933,ynfM,putative transporter YnfM,Amino acid transport and metabolism,ynfM,YidZ,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b2875,0.0659539028,yqeB,XdhC-CoxI family protein YqeB,"Post-translational modification, protein turnover,and chaperones",yqeB,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7494
b1748,0.0637545832,astC,succinylornithine transaminase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6944
b2876,0.0630020558,yqeC,uncharacterized protein YqeC,Cell wall/membrane/envelope biogenesis,yqeC,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7495
b3269,0.0596952386,yhdX,putative ABC transporter membrane subunit YhdX,Inorganic ion transport and metabolism,yhdWXYZ,"NtrC,RpoN",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12835
b1747,0.0593229844,astA,arginine N-succinyltransferase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6943
