locus,gene_weight,gene_name,gene_product,COG,operon,regulator,NsrR,link
b4209,0.3428336395,ytfE,iron-sulfur cluster repair protein YtfE,"Cell cycle control, cell division, chromosome partitioning",ytfE,"Fnr,NarP,NarL,NsrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7866
b0873,0.27349274830000003,hcp,protein S-nitrosylase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6457
b2552,0.269221005,hmp,nitric oxide dioxygenase,Energy production and conversion,hmp,"RpoS,Fur,NsrR,MetR,Fnr,ppGpp,DksA,SdsN",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10456
b2732,0.23868945100000002,ygbA,protein YgbA,Function unknown,ygbA,"YidZ,Fnr,NsrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11287
b0872,0.1738877547,hcr,NADH oxidoreductase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6456
b1797,0.13506756220000002,yeaR,DUF1971 domain-containing protein YeaR,Inorganic ion transport and metabolism,yeaR-yoaG,"RpoD,NarP,NsrR,NarL,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6983
b1796,0.12628894100000002,yoaG,DUF1869 domain-containing protein YoaG,Function unknown,yeaR-yoaG,"RpoD,NarP,NsrR,NarL,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6982
b0992,0.1041058047,yccM,putative 4Fe-4S membrane protein,Energy production and conversion,yccM,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6513
b1430,0.09425435380000001,tehB,tellurite methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",tehAB,NsrR,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11884
b1476,0.0829312011,fdnI,formate dehydrogenase N subunit gamma,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11229
b2125,-0.0831674158,btsR,DNA-binding transcriptional activator BtsR,Transcription,btsSR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12006
