locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS11235,0.20119755790762606,gltB_2,Saci_2321,glutamate synthase (nitrogen uptake),Amino acid transport and metabolism,Op1417,"BarR,LrpC",https://www.uniprot.org/uniprot/M1IYB3
SACI_RS11230,0.1990341896069612,gltB_1,Saci_2320,glutamate synthase (nitrogen uptake),Amino acid transport and metabolism,Op1417,"BarR,LrpC",https://www.uniprot.org/uniprot/A0A0U3GMR7
SACI_RS07440,0.19101900842975605,ilvB_2,Saci_1561,acetolactate synthase large subunit (branched AA),Amino acid transport and metabolism,Op858,,https://www.uniprot.org/uniprot/A0A0U3GJG7
SACI_RS07435,0.1903341644575263,Saci_1560,Saci_1560,ACT domain-containing protein,Function Unknown,Op858,,https://www.uniprot.org/uniprot/A0A0U3FUK9
SACI_RS11255,0.16855416400074766,cimA,Saci_2325,(R)-citramalate synthase (isoleucine),Amino acid transport and metabolism,Op1420,,https://www.uniprot.org/uniprot/A0A0U2Y9V6
SACI_RS10590,0.16140934940879156,aceA,Saci_2191,isocitrate lyase,Energy production and conversion,Op1324,,https://www.uniprot.org/uniprot/A0A0U3GVW3
SACI_RS04490,0.14796797322018848,leuA,Saci_0940,"2-isopropylmalate synthase, Homoacontiate hydratase (lysine)",Amino acid transport and metabolism,Op495,,https://www.uniprot.org/uniprot/A0A0U3GS85
SACI_RS07430,0.12022996937124275,ilvC,Saci_1559,Ketol-acid reductoisomerase (NADP(+)),Amino acid transport and metabolism,Op858,,https://www.uniprot.org/uniprot/A0A0U3H6N8
SACI_RS10580,-0.09355500689641992,yveA,Saci_2189,APC family permease,Amino acid transport and metabolism,Op1323,,https://www.uniprot.org/uniprot/A0A0U3FGY1
SACI_RS10770,-0.09499501626481716,iorB,Saci_2228,indolepyruvate oxidoreductase subunit beta,Energy production and conversion,Op1354,,https://www.uniprot.org/uniprot/A0A0U3F977
SACI_RS10775,-0.10672296915605596,iorA,Saci_2229,indolepyruvate ferredoxin oxidoreductase subunit alpha,Energy production and conversion,Op1354,,https://www.uniprot.org/uniprot/A0A0U3FJW9
SACI_RS10880,-0.10694750348066703,porC,Saci_2250,2-oxoacid:acceptor oxidoreductase family protein,Energy production and conversion,Op1369,,https://www.uniprot.org/uniprot/A0A0U3HCN3
SACI_RS08920,-0.10920027775930584,pchA,Saci_1857,aldehyde dehydrogenase family protein,Energy production and conversion,Op1076,,https://www.uniprot.org/uniprot/A0A0U3HIL8
SACI_RS10895,-0.11462462631542428,porB,Saci_2253,pyruvate synthase subunit beta,Energy production and conversion,Op1369,,https://www.uniprot.org/uniprot/A0A0U3GHS2
SACI_RS10885,-0.11550548276580085,porD,Saci_2251,4Fe-4S binding protein,Energy production and conversion,Op1369,,https://www.uniprot.org/uniprot/A0A0U3H4Z2
SACI_RS10890,-0.11784043901457238,porA,Saci_2252,pyruvate ferredoxin oxidoreductase,Energy production and conversion,Op1369,,https://www.uniprot.org/uniprot/A0A0U3GQ46
SACI_RS04910,-0.11887382121864415,Saci_1028,Saci_1028,acetyl ornithine aminotransferase family protein,Amino acid transport and metabolism,Op541,,https://www.uniprot.org/uniprot/A0A0U3HA02
SACI_RS04795,-0.16033359238321115,Saci_1004,Saci_1004,hypothetical protein,Function Unknown,Op526,,https://www.uniprot.org/uniprot/A0A0U3FLQ2
