locus,gene_weight,gene_name,gene_product,cog,regulator,PvdS,link
PSPTO_2134,0.1802024207,PSPTO_2134,thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,
PSPTO_2147,0.16704979350000002,PSPTO_2147,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,
PSPTO_2155,0.1573191502,PSPTO_2155,aminotransferase class V-fold PLP-dependent enzyme,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_2149,0.1526855598,PSPTO_2149,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,
PSPTO_2152,0.1514131025,PSPTO_2152,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,PvdS,True,
PSPTO_2156,0.1490436278,PSPTO_2156,pyoverdine-tailoring dipeptidase-like protein PvdM,Amino acid transport and metabolism,PvdS,True,
PSPTO_2146,0.1489337886,PSPTO_2146,TauD/TfdA family dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",PvdS,True,
PSPTO_2154,0.1476808895,PSPTO_2154,formylglycine-generating enzyme family protein,Function unknown,,False,
PSPTO_2136,0.14767930070000002,daT,aspartate aminotransferase family protein,Amino acid transport and metabolism,PvdS,True,
PSPTO_2135,0.1475370112,pvsA,non-ribosomal peptide synthase/polyketide synthase,Lipid transport and metabolism,,False,
PSPTO_2137,0.1460266329,PSPTO_2137,MbtH family protein,Function unknown,PvdS,True,
PSPTO_2160,0.1407748621,PSPTO_2160,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,PvdS,True,
PSPTO_2161,0.1383913237,PSPTO_2161,acylase,Cell wall/membrane/envelope biogenesis,PvdS,True,
PSPTO_2148,0.136078457,PSPTO_2148,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,
PSPTO_2153,0.13559374230000001,pvdE,cyclic peptide export ABC transporter,Defense mechanisms,,False,
PSPTO_RS11190,0.1336674046,PSPTO_RS11190,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_2144,0.1314537685,PSPTO_2144,hypothetical protein,Function unknown,,False,
PSPTO_5624,0.1310815212,pvdP,twin-arginine translocation signal domain-containing protein,Function unknown,PvdS,True,
PSPTO_2158,0.12905033570000002,PSPTO_2158,efflux transporter outer membrane subunit,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_2150,0.1251365983,PSPTO_2150,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,
PSPTO_2159,0.1234493906,macB,MacB family efflux pump subunit,Defense mechanisms,,False,
PSPTO_2145,0.1178863529,PSPTO_2145,PepSY domain-containing protein,Function unknown,PvdS,True,
PSPTO_2141,0.11452194980000001,PSPTO_2141,zinc ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,
PSPTO_2143,0.11327270240000001,PSPTO_2143,hypothetical protein,No COG annotation,,False,
PSPTO_2139,0.1095124793,PSPTO_2139,metal ABC transporter permease,Inorganic ion transport and metabolism,,False,
PSPTO_2142,0.1042677899,PSPTO_2142,hypothetical protein,No COG annotation,,False,
PSPTO_2140,0.10420622900000001,PSPTO_2140,metal ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,
PSPTO_5638,0.099001376,PSPTO_5638,hypothetical protein,Inorganic ion transport and metabolism,,False,
PSPTO_2138,0.0971027824,PSPTO_2138,zinc ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,
PSPTO_4460,0.0870056429,PSPTO_4460,tetratricopeptide repeat protein,Function unknown,,False,
PSPTO_4461,0.0860559766,fumC-2,class II fumarate hydratase,Energy production and conversion,,False,
PSPTO_RS29100,0.0801728948,pilV,shufflon system plasmid conjugative transfer pilus tip adhesin PilV,Cell motility,,False,
PSPTO_1283,0.0769182409,PSPTO_1283,biliverdin-producing heme oxygenase,Inorganic ion transport and metabolism,,False,
PSPTO_4459,0.07371268040000001,sodA,superoxide dismutase,Energy production and conversion,,False,
PSPTO_1206,0.0690774007,PSPTO_1206,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,AlgU,False,
PSPTO_3692,0.06859839250000001,PSPTO_3692,TonB-dependent siderophore receptor,Cell wall/membrane/envelope biogenesis,,False,
PSPTOB0007,0.0659465379,pilM,type IV pilus biogenesis protein PilM,Function unknown,,False,
PSPTO_2133,0.06282635510000001,pvdS,RNA polymerase factor sigma-70,Transcription,,False,
PSPTO_1212,0.0611884809,PSPTO_1212,DUF3325 domain-containing protein,Function unknown,,False,
PSPTO_1284,0.0566645547,PSPTO_1284,TonB-dependent receptor,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_5392,0.0528682282,PSPTO_5392,hypothetical protein,No COG annotation,,False,
PSPTO_2601,0.0499721494,PSPTO_2601,MFS transporter,Amino acid transport and metabolism,,False,
PSPTO_2683,-0.0501002484,PSPTO_2683,hypothetical protein,No COG annotation,,False,
PSPTO_4297,-0.0533831528,PSPTO_4297,hypothetical protein,No COG annotation,,False,
