locus,gene_weight,gene_name,gene_product,cog,operon,regulator,WalR,link
BSU_06250,0.2199999332501392,walM,protein involved in cell wall metabolism,Cell wall/membrane/envelope biogenesis,Op501,"PhoP,WalR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_06250
BSU_19210,0.19569132683646606,walL,exported cell wall lytic enzyme,Cell wall/membrane/envelope biogenesis,Op1490,"Spo0A,SigA,WalR,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_19210
BSU_06260,0.18342108719306288,ydjN,putative membrane protein,"Intracellular trafficking, secretion, and vesicular transport",Op502,"PhoP,WalR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_06260
BSU_14620,0.17900412375573482,slp,small peptidoglycan-associated lipoprotein,Energy production and conversion,Op1149,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14620
BSU_34800,0.127689932031786,cwlO,secreted cell wall DL-endopeptidase,Cell wall/membrane/envelope biogenesis,Op2719,"SigA,WalR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34800
BSU_13520,0.11782256162152925,ykrP,putative integral membrane protein%3B putative acyltransferase,Carbohydrate transport and metabolism,Op1060,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13520
BSU_02980,0.11380629390832367,opuAA,L-proline betaine and betonicine ABC transporter (ATP-binding protein),Amino acid transport and metabolism,Op225,"SigA,RemA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02980
BSU_33830,0.10609502857161064,opuCA,glycine betaine/carnitine/choline/choline sulfate ABC transporter (ATP-binding protein),Amino acid transport and metabolism,Op2653,"RemA,OpcR,YlxR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33830
BSU_02990,0.10335049143761696,opuAB,L-proline betaine and betonicine ABC transporter (permease),Inorganic ion transport and metabolism,Op225,"SigA,RemA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02990
BSU_03000,0.10176878057258283,opuAC,L-proline betaine and betonicine ABC transporter ABC transporter (glycine betaine-binding lipoprotein),Amino acid transport and metabolism,Op225,"SigA,RemA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03000
BSU_33810,0.10061028806895808,opuCC,glycine betaine/carnitine/choline/choline sulfate ABC transporter (osmoprotectant-binding lipoprotein),Cell wall/membrane/envelope biogenesis,Op2653,"RemA,OpcR,YlxR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33810
BSU_33800,0.09335386179142707,opuCD,glycine betaine/carnitine/choline/choline sulfate ABC transporter (promiscuous permease),Inorganic ion transport and metabolism,Op2653,"RemA,OpcR,YlxR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33800
BSU_33820,0.08816393334813459,opuCB,glycine betaine/carnitine/choline/choline sulfate ABC transporter (promiscuous permease),Inorganic ion transport and metabolism,Op2653,"RemA,OpcR,YlxR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33820
BSU_09420,0.07955161068407009,lytE,cell wall dl-endopeptidase%3B phosphatase-associated protein (major autolysin),Cell wall/membrane/envelope biogenesis,Op728,"Spo0A,SigA,SigI,WalR,SigH",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09420
BSU_18470,0.07928746899331515,proJ,glutamate 5-kinase,Amino acid transport and metabolism,Op1410,SigA,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18470
BSU_12090,-0.11224993809171337,cotT,spore coat protein (inner coat),No COG annotation,Op944,"GerE,SigK,SigE,SpoIIID",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12090
BSU_12100,-0.14819372643614062,pdaC,N-acetylmuramic acid deacetylase,Carbohydrate transport and metabolism,Op945,WalR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12100
BSU_18380,-0.17380977039336198,iseA,inhibitor of DL-endopeptidases involved in cell-separation,Function unknown,Op1402,WalR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18380
