locus,gene_weight,gene_name,gene_product,cog,regulator,lexA,link
STM1882,0.2024375754,yebG,DNA damage-inducible gene in SOS regulon%2C dependent on cyclic AMP and H-NS,Function unknown,"lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1882
STM1998,0.1853131795,umuD,error-prone repair: SOS-response transcriptional repressor,Transcription,"lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1998
STM1008,0.16877344800000002,STM1008,Gifsy-2 prophage protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1008
STM2684,0.1673047269,recN,protein used in recombination and DNA repair,"Replication, recombination and repair","fur,lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2684
STM1071,0.1638900905,sulA,suppressor of lon,"Cell cycle control, cell division, chromosome partitioning","lexA,rcdA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1071
STM1997,0.1630786724,umuC,error-prone repair protein,"Replication, recombination and repair","lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1997
STM1881,0.16299347,yebF,putative periplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1881
STM2061,0.1443983358,sbmC,DNA gyrase inhibitor,"Replication, recombination and repair","crp,lexA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2061
STM2829,0.1378541421,recA,DNA strand exchange and recombination protein,"Replication, recombination and repair","lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2829
STM2627,0.1367001321,STM2627,Gifsy-1 prophage protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2627
STM1880,0.1356726341,yebE,putative inner membrane protein,Function unknown,"cpxR,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1880
STM0313,0.111054623,dinP,DNA polymerase IV,"Replication, recombination and repair","lexA,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0313
STM4237,0.1085300919,lexA,SOS response regulator,Transcription,"lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4237
STM2240,0.1052124596,STM2240,putative cytoplasmic protein,Defense mechanisms,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2240
STM4032,0.1039673324,STM4032,putative acetyl esterase,Lipid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4032
STM4238,0.10364673810000001,dinF,DNA-damage-inducible protein F,Defense mechanisms,"lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4238
STM1895,0.0965317767,ruvA,Holliday junction helicase subunit A,"Replication, recombination and repair",lexA,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1895
STM1309,0.0960103549,STM1309,putative nuclease subunit of the excinuclease complex,"Replication, recombination and repair","lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1309
STM2137,0.0914143031,STM2137,putative cytoplasmic protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2137
STM1241,0.087908436,msgA,macrophage survival gene%3B reduced mouse virulence,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1241
STM2060,0.0823897189,yeeA,putative inner membrane protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2060
STM0097,0.0725728138,polB,DNA polymerase II,"Replication, recombination and repair","lexA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0097
STM1894,0.0720687517,ruvB,Holliday junction helicase%2C subunit B,Nucleotide transport and metabolism,lexA,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1894
STM3522,-0.09107639420000001,rtcR,sigma N (sigma 54)-dependent regulator of rtcBA expression,Transcription,rpoN,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3522
