locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PhoB,link
b4105,0.2541261262,phnD,phosphonate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10714
b4106,0.2358290936,phnC,phosphonate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10713
b4583,0.2189869016,phnE,phosphonate ABC transporter membrane subunit,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11283
b0241,0.2179702063,phoE,outer membrane porin PhoE,Cell wall/membrane/envelope biogenesis,phoE,"RpoD,PhoB,micF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10729
b4101,0.1822673973,phnG,carbon-phosphorus lyase core complex subunit PhnG,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10716
b3615,0.180773274,waaH,UDP-glucuronate:LPS(HepIII) glycosyltransferase,Function unknown,waaH,"RpoD,PhoB,NsrR,ppGpp,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11266
b4099,0.1781481031,phnI,carbon-phosphorus lyase core complex subunit PhnI,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10718
b4102,0.17680931460000002,phnF,putative transcriptional regulator PhnF,Transcription,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10715
b4100,0.1710616326,phnH,carbon-phosphorus lyase core complex subunit PhnH,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10717
b4098,0.1643494911,phnJ,carbon-phosphorus lyase core complex subunit PhnJ,Coenzyme transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10719
b4097,0.160118208,phnK,carbon-phosphorus lyase subunit PhnK,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10720
b0383,0.1537276111,phoA,alkaline phosphatase,Inorganic ion transport and metabolism,phoA-psiF,"RpoD,YidZ,PhoB,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10727
b4096,0.14058843640000002,phnL,methylphosphonate degradation complex subunit PhnL,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10721
b0384,0.12958654590000002,psiF,PsiF family protein,Function unknown,phoA-psiF,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11401
b4095,0.12172386810000001,phnM,RPnTP hydrolase,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10722
b3452,0.0982301091,ugpA,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,Carbohydrate transport and metabolism,ugpBAECQ,"RpoD,Crp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11046
b3451,0.0921998853,ugpE,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE,Carbohydrate transport and metabolism,ugpBAECQ,"RpoD,Crp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11049
b4094,0.0892597416,phnN,ribose 1%2C5-bisphosphate phosphokinase,Nucleotide transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10723
b4242,0.0845512489,mgtA,Mg(2(+)) importing P-type ATPase,Inorganic ion transport and metabolism,mgtLA,"RpoD,YiaU,ppGpp,PhoP",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12525
b0400,0.08129893490000001,phoR,sensory histidine kinase PhoR,Signal transduction mechanisms,phoBR,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10733
b3453,0.07916680300000001,ugpB,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,ugpBAECQ,"RpoD,Crp,ppGpp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11047
b1101,-0.08540541950000001,ptsG,glucose-specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,ptsG,"RpoD,sgrS,Crp,ArcA,Mlc,Fis,SoxS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10787
b3919,-0.1076462445,tpiA,triose-phosphate isomerase,Nucleotide transport and metabolism,tpiA,"RpoD,RpoS,Cra",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11015
