locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PN96_RS16250,0.25125027146113,PN96_RS16250,ribulokinase,Energy production and conversion,Op282,,
PN96_RS16255,0.2393062770497121,PN96_RS16255,L-ribulose-5-phosphate 4-epimerase,Carbohydrate transport and metabolism,Op282,,
PN96_RS16260,0.2359704359297879,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,Op282,,
PN96_RS05500,0.2183487735963026,PN96_RS05500,sugar O-acetyltransferase,Function unknown,Op1367,,
PN96_RS16245,0.1916665049856798,PN96_RS16245,arabinose ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,Op280,,
PN96_RS16280,0.1811525457072862,PN96_RS16280,MFS transporter,Carbohydrate transport and metabolism,Op286,,
PN96_RS16240,0.1806487629417519,araG,L-arabinose ABC transporter ATP-binding protein AraG,Carbohydrate transport and metabolism,Op278,,
PN96_RS16275,0.1730336098123447,PN96_RS16275,glycoside hydrolase family 43 protein,Carbohydrate transport and metabolism,Op286,,
PN96_RS16235,0.1720072811549431,araH,L-arabinose ABC transporter permease AraH,"Intracellular trafficking, secretion, and vesicular transport",Op278,,
PN96_RS16270,0.144370267996847,galM,galactose-1-epimerase,Carbohydrate transport and metabolism,Op285,"GalR,TfoX",
PN96_RS22445,0.1155564405334566,galE,UDP-glucose 4-epimerase GalE,Cell wall/membrane/envelope biogenesis,Op1964,GalR,
PN96_RS17865,0.1140568554210619,hutH,histidine ammonia-lyase,Amino acid transport and metabolism,Op708,,
PN96_RS05385,0.1108455456588479,PN96_RS05385,aldehyde dehydrogenase,Energy production and conversion,Op1330,,
PN96_RS18415,0.1036393682448512,tal,transaldolase,Nucleotide transport and metabolism,Op863,,
PN96_RS18410,0.1013767855568184,tkt,transketolase,Carbohydrate transport and metabolism,Op863,,
