locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CcpA,link
BSU_35960,0.21907512429914866,rbsB,ribose ABC transporter (ribose-binding lipoprotein),Carbohydrate transport and metabolism,Op2794,"SigA,CcpA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35960
BSU_35950,0.21034160732319887,rbsC,ribose ABC transporter (permease),Carbohydrate transport and metabolism,Op2794,"SigA,CcpA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35950
BSU_35940,0.16860623296659236,rbsA,ribose ABC transporter (ATP-binding protein),Carbohydrate transport and metabolism,Op2794,"SigA,CcpA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35940
BSU_35970,0.1480495737218379,ywsB,putative cell wall binding enzyme,Signal transduction mechanisms,Op2795,SigB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35970
BSU_35930,0.11803565614945068,rbsD,D-ribose pyranase,Carbohydrate transport and metabolism,Op2794,"SigA,CcpA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35930
BSU_05880,0.1119643861189441,gmuG,exported mannan endo-1%2C4-beta-mannosidase,Carbohydrate transport and metabolism,Op459,"SigA,GmuR,CcpA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_05880
BSU_38560,0.1118232462607955,licH,6-phospho-beta-glucosidase,Carbohydrate transport and metabolism,Op2986,"SigA,LicR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_38560
BSU_05870,0.11128375299749324,gmuF,phosphohexomutase%3B cupin family,Carbohydrate transport and metabolism,Op459,"SigA,GmuR,CcpA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_05870
BSU_35920,0.10689322687518707,rbsK,ribokinase,Coenzyme transport and metabolism,Op2794,"SigA,CcpA,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35920
BSU_38570,0.10366503146340786,licA,phosphotransferase system (PTS) lichenan-specific enzyme IIA component,Carbohydrate transport and metabolism,Op2986,"SigA,LicR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_38570
BSU_02130,0.10130166946467943,glpQA,secreted glycerophosphoryl diester phosphodiesterase,Energy production and conversion,Op159,"SigA,GlpP,PhoP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02130
BSU_35980,0.09540361925786693,ywsA,conserved protein of unknown function,Function unknown,Op2796,SigB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35980
BSU_02140,0.09402121031494687,glpT,sn-glycerol-3-phosphate permease,Carbohydrate transport and metabolism,Op159,"SigA,GlpP,PhoP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02140
BSU_12300,0.0939165521405179,uxaC,galacturonate isomerase,Carbohydrate transport and metabolism,Op965,"SigA,ExuR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12300
