locus,gene_weight,gene_name,gene_product,cog,regulator,flhD;flhC,link
STM1175,0.1897912195,flgC,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1175
STM1174,0.1876382056,flgB,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1174
STM1176,0.1841200573,flgD,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1176
STM1971,0.17631140780000001,fliH,flagellar biosynthesis protein,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1971
STM1180,0.1752731958,flgH,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1180
STM1178,0.17367254740000002,flgF,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1178
STM1179,0.1704633756,flgG,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1179
STM1970,0.1695837474,fliG,flagellar biosynthesis protein,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1970
STM1177,0.1690252297,flgE,hook protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1177
STM1972,0.1679885203,fliI,flagellum-specific ATP synthase,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1972
STM1975,0.1665518808,fliL,flagellar biosynthesis,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1975
STM1973,0.1662152166,fliJ,flagellar FliJ protein,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1973
STM1969,0.1630701094,fliF,basal-body MS (membrane and supramembrane)-ring and collar protein,Cell motility,"csgD,flhD;flhC,fliA,rpoD,yieP",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1969
STM1181,0.1619158062,flgI,putative flagella basal body protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1181
STM1976,0.16059942700000002,fliM,flagellar biosynthesis protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1976
STM1974,0.15611491930000002,fliK,flagellar hook-length control protein,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1974
STM1173,0.1546372611,flgA,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1173
STM1182,0.15455842790000002,flgJ,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1182
STM1968,0.1528483695,fliE,putative flagellar hook-basal body protein,Cell motility,"csgD,flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1968
STM1934,0.1526414374,STM1934,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,"arcA,flhD;flhC,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1934
STM1977,0.1466898545,fliN,flagellar biosynthesis protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1977
STM1978,0.141685317,fliO,flagellar biosynthesis protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1978
STM1594,0.1415076401,srfB,ssrAB activated gene,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1594
STM1913,0.140392674,flhA,flagellar biosynthesis protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1913
STM1593,0.1362855258,srfA,ssrAB activated gene,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1593
STM1980,0.1271852749,fliQ,flagellar biosynthesis protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1980
STM1914,0.1265645875,flhB,putative part of export apparatus for flagellar proteins,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1914
STM1979,0.1228029008,fliP,flagellar biosynthesis protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1979
STM1912,0.1225170785,flhE,flagellar protein,Cell motility,"flhD;flhC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1912
STM1595,0.1116113895,srfC,ssrAB activated gene,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1595
STM1958,0.10474942050000001,fliB,N-methylation of lysine residues in flagellin,Coenzyme transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1958
STM1981,0.0969288439,fliR,putative flagellar biosynthetic protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1981
STM1955,0.0945457576,fliZ,putative regulator of FliA,Cell motility,"csgD,flhD;flhC,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1955
STM1146,0.0906139121,ymdA,putative periplasmic protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1146
STM1961,0.0690133421,fliS,repressor of class 3a and 3b operons (RflA activity),Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1961
STM1962,0.0679673269,fliT,putative export chaperone for FliD,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1962
STM1956,0.0627239911,fliA,sigma F (sigma 28) factor of RNA polymerase,Transcription,"csgD,flhD;flhC,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1956
STM1960,0.0624180354,fliD,filament capping protein,Cell motility,"flhD;flhC,fliA,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1960
