locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,AtsR,link
PA0193,0.21743248,PA0193,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0193&e1=1&assembly=complete
PA0199,0.19867763900000002,exbD1,,biopolymer transport protein ExbD,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0199&e1=1&assembly=complete
PA0198,0.19075518100000002,exbB1,,transporter ExbB,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0198&e1=1&assembly=complete
PA0194,0.189539526,PA0194,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0194&e1=1&assembly=complete
PA0192,0.18698044500000002,PA0192,,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0192&e1=1&assembly=complete
PA0183,0.18057430200000002,atsA,,arylsulfatase,Inorganic ion transport and metabolism,"CysB,AtsR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0183&e1=1&assembly=complete
PA0184,0.180133494,PA0184,,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,"CysB,AtsR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0184&e1=1&assembly=complete
PA0197,0.163990563,tonB2,,transporter TonB,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0197&e1=1&assembly=complete
PA0185,0.152055461,PA0185,,ABC transporter permease,Inorganic ion transport and metabolism,"CysB,AtsR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0185&e1=1&assembly=complete
PA0186,0.14280600300000001,atsR,,ABC transporter,Inorganic ion transport and metabolism,CysB,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0186&e1=1&assembly=complete
