locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS01585,0.1977964656879768,Saci_0324,Saci_0324,sulfite exporter TauE/SafE family protein,General Function Prediction Only,Op186,,https://www.uniprot.org/uniprot/A0A0U2VW32
SACI_RS01605,0.18064603559461026,hdrA,Saci_0328,CoB--CoM heterodisulfide reductase iron-sulfur subunit A family protein,Energy production and conversion,Op188,,https://www.uniprot.org/uniprot/A0A0U3GTK9
SACI_RS01610,0.17248870722502627,hdrB1,Saci_0329,heterodisulfide reductase subunit B,Energy production and conversion,Op189,,https://www.uniprot.org/uniprot/A0A0U3GUQ8
SACI_RS01600,0.17043621055503844,Saci_0327,Saci_0327,"Heterodisulfide reductase, subunit A, polyferredoxin",Function Unknown,Op187,XylR,https://www.uniprot.org/uniprot/A0A0U2Y162
SACI_RS01595,0.15883058475774306,hdrC2,Saci_0326,"4Fe-4S dicluster domain-containing protein, heterodisulfide reductase protein",Energy production and conversion,Op187,,https://www.uniprot.org/uniprot/A0A0U2WT74
SACI_RS01590,0.15358202887179614,hdrB2,Saci_0325,CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein,Energy production and conversion,Op187,,https://www.uniprot.org/uniprot/A0A0U3FPF4
SACI_RS01635,0.13525224075275433,hdrC1,Saci_0334,"4Fe-4S dicluster domain-containing protein, heterodisulfide reductase protein",Energy production and conversion,Op191,,https://www.uniprot.org/uniprot/A0A0U3FG46
SACI_RS05570,0.12398844267759156,trxB_2,Saci_1169,thioredoxin-disulfide reductase (FAD-dependent),"Posttranslational modification, protein turnover, chaperones",Op644,,https://www.uniprot.org/uniprot/A0A0U3HCT4
SACI_RS01615,0.11982411641679401,Saci_0330,Saci_0330,sulfurtransferase TusA family protein,"Posttranslational modification, protein turnover, chaperones",Op190,,https://www.uniprot.org/uniprot/A0A0U3FNF5
SACI_RS01690,0.10501527355301167,lipM_2,Saci_0345,lipoate--protein ligase family protein,Coenzyme transport and metabolism,Op194,,https://www.uniprot.org/uniprot/A0A0U2Y143
SACI_RS01650,0.09954146221036232,Saci_0337,Saci_0337,Sulphur reduction (DsrE family) ,General Function Prediction Only,Op193,,https://www.uniprot.org/uniprot/A0A0U2Y8Z1
SACI_RS09005,0.09735575895263736,SACI_RS09005,,hypothetical protein,No arCOG annotation,Op1090,,https://www.uniprot.org/uniprot/A0A0U3FIB9
SACI_RS01710,0.09700518976348436,gcvH2,Saci_0350,glycine cleavage system protein H,Amino acid transport and metabolism,Op196,,https://www.uniprot.org/uniprot/A0A0U2N9U9
SACI_RS01715,0.09476708669724176,lipM_3,Saci_0351,lipoate--protein ligase family protein,Coenzyme transport and metabolism,Op196,,https://www.uniprot.org/uniprot/A0A0U3HEN6
SACI_RS01655,0.09258108144347547,lpd,Saci_0338,"Pyridine nucleotide-disulfide oxidoreductase, NAD(P)/FAD-dependent",Energy production and conversion,Op193,,https://www.uniprot.org/uniprot/A0A0U3HAN5
SACI_RS01570,0.09067394000505664,Saci_0321,Saci_0321,2'-5' RNA ligase family protein,General Function Prediction Only,Op184,,https://www.uniprot.org/uniprot/A0A0U3H3W5
