locus,gene_weight,gene_name,gene_product,COG,operon,regulator,PurR,link
b4245,0.3936949764,pyrB,aspartate carbamoyltransferase catalytic subunit,Nucleotide transport and metabolism,pyrLBI,"Nac,ppGpp,UTP",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10805
b4244,0.3897732157,pyrI,aspartate carbamoyltransferase%2C PyrI subunit,Nucleotide transport and metabolism,pyrLBI,"Lrp,ppGpp,UTP",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10811
b2497,0.21393657500000002,uraA,hypothetical protein,Nucleotide transport and metabolism,upp-uraA,"RpoD,Fnr,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12129
b0336,0.1827878627,codB,cytosine transporter,Nucleotide transport and metabolism,codBA,"RpoD,PurR,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b0033,0.155914501,carB,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,carAB,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10135
b0032,0.1472624206,carA,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,carAB,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10134
b4243,0.135931932,ridA,enamine/imine deaminase%2C redox regulated chaperone,"Translation, ribosomal structure and biogenesis",ridA,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7877
b0337,0.1349010348,codA,cytosine/isoguanine deaminase,Nucleotide transport and metabolism,codBA,"RpoD,PurR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11326
b2498,0.1159850944,upp,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,upp-uraA,"RpoD,Fnr,ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11332
b0945,0.0964692909,pyrD,dihydroorotate dehydrogenase%2C type 2,Nucleotide transport and metabolism,pyrD,"RpoD,PurR,Fis,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10807
