locus,gene_weight,gene_name,gene_product,cog,regulator,Sigma-70,link
PA0617,0.1650249547,PA0617,bacteriophage protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0617&e1=1&assembly=complete
PA0619,0.1637984267,PA0619,bacteriophage protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0619&e1=1&assembly=complete
PA0634,0.1609272143,PA0634,hypothetical protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0634&e1=1&assembly=complete
PA0635,0.1603657781,PA0635,hypothetical protein,No COG annotation,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0635&e1=1&assembly=complete
PA0636,0.1597490456,PA0636,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0636&e1=1&assembly=complete
PA0624,0.1596625087,PA0624,hypothetical protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0624&e1=1&assembly=complete
PA0625,0.1580319178,PA0625,hypothetical protein,No COG annotation,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0625&e1=1&assembly=complete
PA0623,0.1566124142,PA0623,bacteriophage protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0623&e1=1&assembly=complete
PA0622,0.1559257132,PA0622,bacteriophage protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0622&e1=1&assembly=complete
PA0628,0.15487087160000002,PA0628,hypothetical protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0628&e1=1&assembly=complete
PA0633,0.1548121337,PA0633,hypothetical protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0633&e1=1&assembly=complete
PA0638,0.1536272961,PA0638,bacteriophage protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0638&e1=1&assembly=complete
PA0639,0.1532567997,PA0639,hypothetical protein,Cell wall/membrane/envelope biogenesis,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0639&e1=1&assembly=complete
PA0637,0.1528692025,PA0637,hypothetical protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0637&e1=1&assembly=complete
PA0629,0.1525638573,PA0629,hypothetical protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0629&e1=1&assembly=complete
PA0640,0.1511033579,PA0640,bacteriophage protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0640&e1=1&assembly=complete
PA0618,0.1507238555,PA0618,bacteriophage protein,Function unknown,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0618&e1=1&assembly=complete
PA0630,0.1487039591,PA0630,hypothetical protein,No COG annotation,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0630&e1=1&assembly=complete
PA0631,0.1475210268,PA0631,hypothetical protein,No COG annotation,Sigma-70,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0631&e1=1&assembly=complete
