locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS09405,0.15290510111752384,SACI_RS09405,,hypothetical protein,No arCOG annotation,Op1151,,https://www.uniprot.org/uniprot/A0A0U3HCK3
SACI_RS02730,0.12104455317059327,rpl15,Saci_0575,50S ribosomal protein L15,"Translation, ribosomal structure and biogenesis",Op323,,https://www.uniprot.org/uniprot/A0A0U3FX46
SACI_RS02780,0.1130160684284882,rpl24,Saci_0586,50S ribosomal protein L24,"Translation, ribosomal structure and biogenesis",Op323,,https://www.uniprot.org/uniprot/A0A0U3GVN2
SACI_RS02435,0.09775049489092157,Saci_0505,Saci_0505,hypothetical protein,"Mobilome: prophages, transposons",Op290,,https://www.uniprot.org/uniprot/A0A0U2W740
SACI_RS02735,0.09445386997734252,rpl30,Saci_0576,50S ribosomal protein L30,"Translation, ribosomal structure and biogenesis",Op323,,https://www.uniprot.org/uniprot/A0A0U2N9J5
SACI_RS02995,0.0920860854385764,Saci_0630,Saci_0630,hypothetical protein,No arCOG annotation,Op337,,https://www.uniprot.org/uniprot/A0A0U3GNC8
SACI_RS09330,0.08804829335650143,norW_2,Saci_1934,FAD-dependent oxidoreductase,Energy production and conversion,Op1139,,https://www.uniprot.org/uniprot/A0A0U3FRH5
SACI_RS02790,0.08615367152982434,rps17,Saci_0588,30S ribosomal protein S17,"Translation, ribosomal structure and biogenesis",Op323,,https://www.uniprot.org/uniprot/A0A0U2VVE8
SACI_RS03600,0.08226147445472083,lysW,Saci_0753,Alpha-aminoadipate/glutamate carrier protein LysW,Amino acid transport and metabolism,Op405,LysM,https://www.uniprot.org/uniprot/A0A0U3HDS3
SACI_RS02785,0.08081875613811293,rpl14,Saci_0587,50S ribosomal protein L14,"Translation, ribosomal structure and biogenesis",Op323,,https://www.uniprot.org/uniprot/A0A0U3FN07
SACI_RS09510,0.07661514949493024,Saci_1968,Saci_1968,thiolase family protein,Lipid transport and metabolism,Op1162,,https://www.uniprot.org/uniprot/A0A0U3FS63
SACI_RS07480,0.07595890421175096,Saci_1569,Saci_1569,DUF211 domain-containing protein,Function Unknown,Op865,,https://www.uniprot.org/uniprot/A0A0U3FCV2
SACI_RS07475,0.07522682210539051,speH_2,Saci_1568,adenosylmethionine decarboxylase,Amino acid transport and metabolism,Op864,,https://www.uniprot.org/uniprot/A0A0U3FKX9
