locus,gene_weight,gene_name,gene_product,cog,regulator,GlcC,MexS,link
PA4623,0.2780432402,PA4623,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4623&e1=1&assembly=complete
PA3229,0.2580858017,PA3229,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3229&e1=1&assembly=complete
PA1970,0.251264197,PA1970,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1970&e1=1&assembly=complete
PA4881,0.22573844280000002,PA4881,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4881&e1=1&assembly=complete
PA2759,0.21716506570000002,PA2759,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2759&e1=1&assembly=complete
PA1942,0.1948481916,PA1942,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1942&e1=1&assembly=complete
PA2491,0.1800219438,mexS,oxidoreductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2491&e1=1&assembly=complete
PA2493,0.1622774324,mexE,resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexE,Cell wall/membrane/envelope biogenesis,"MexS,MexT",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2493&e1=1&assembly=complete
PA2494,0.15584668540000002,mexF,resistance-nodulation-cell division (RND) multidrug efflux transporter MexF,"Intracellular trafficking, secretion, and vesicular transport","MexS,MexT",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2494&e1=1&assembly=complete
PA2495,0.1320219781,oprN,multidrug efflux outer membrane protein OprN,Cell wall/membrane/envelope biogenesis,"MexS,MexT",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2495&e1=1&assembly=complete
PA3230,0.098873468,PA3230,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3230&e1=1&assembly=complete
PA1744,0.0981117791,PA1744,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1744&e1=1&assembly=complete
PA2486,0.0920221628,PA2486,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2486&e1=1&assembly=complete
PA1743,0.0903620801,PA1743,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1743&e1=1&assembly=complete
PA4354,0.0879433897,PA4354,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4354&e1=1&assembly=complete
PA2497,0.0738932504,PA2497,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2497&e1=1&assembly=complete
PA2496,0.0579951594,PA2496,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2496&e1=1&assembly=complete
