locus,gene_weight,gene_name,gene_product,cog,regulator,CueR,link
PA3519,0.2762019097,PA3519,hypothetical protein,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3519&e1=1&assembly=complete
PA3518,0.250299665,PA3518,hypothetical protein,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3518&e1=1&assembly=complete
PA3523,0.2404896259,PA3523,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3523&e1=1&assembly=complete
PA3920,0.20272000010000002,PA3920,metal transporting P-type ATPase,Inorganic ion transport and metabolism,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3920&e1=1&assembly=complete
PA3517,0.1979085972,PA3517,adenylosuccinate lyase,Nucleotide transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3517&e1=1&assembly=complete
PA3516,0.185696188,PA3516,adenylosuccinate lyase,Nucleotide transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3516&e1=1&assembly=complete
PA3574a,0.1803814399,PA3574a,copper chaperone CopZ,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3574a&e1=1&assembly=complete
PA3522,0.143290879,PA3522,resistance-nodulation-cell division (RND) efflux transporter,"Intracellular trafficking, secretion, and vesicular transport",CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3522&e1=1&assembly=complete
PA3521,0.10887315950000001,PA3521,hypothetical protein,Cell wall/membrane/envelope biogenesis,CueR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3521&e1=1&assembly=complete
PA3515,0.0996625087,PA3515,hypothetical protein,"Translation, ribosomal structure and biogenesis",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3515&e1=1&assembly=complete
PA4878,0.0932934921,PA4878,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4878&e1=1&assembly=complete
PA1137,0.0862099539,PA1137,oxidoreductase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1137&e1=1&assembly=complete
