locus,gene_weight,gene_name,gene_product,cog,regulator,Zur,RutR,link
PA5536,0.2418554498,PA5536,hypothetical protein,Signal transduction mechanisms,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5536&e1=1&assembly=complete
PA5539,0.21644068530000002,PA5539,GTP cyclohydrolase,Function unknown,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5539&e1=1&assembly=complete
PA0781,0.2141548589,PA0781,hypothetical protein,Inorganic ion transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0781&e1=1&assembly=complete
PA1925,0.2140696394,PA1925,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1925&e1=1&assembly=complete
PA5541,0.2083085681,pyrQ,dihydroorotase,Nucleotide transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5541&e1=1&assembly=complete
PA1922,0.2075693211,PA1922,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1922&e1=1&assembly=complete
PA5540,0.2032049015,PA5540,hypothetical protein,Function unknown,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5540&e1=1&assembly=complete
PA5534,0.2000075051,PA5534,hypothetical protein,Function unknown,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5534&e1=1&assembly=complete
PA5535,0.199314649,PA5535,hypothetical protein,Function unknown,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5535&e1=1&assembly=complete
PA5538,0.1942429423,amiA,N-acetylmuramoyl-L-alanine amidase,Cell wall/membrane/envelope biogenesis,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5538&e1=1&assembly=complete
PA1924,0.18854159480000002,PA1924,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1924&e1=1&assembly=complete
PA3600,0.1837525828,PA3600,50S ribosomal protein L36,"Translation, ribosomal structure and biogenesis",Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3600&e1=1&assembly=complete
PA4837,0.1765626313,PA4837,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4837&e1=1&assembly=complete
PA3601,0.1751225401,PA3601,50S ribosomal protein L31 type B,"Translation, ribosomal structure and biogenesis",Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3601&e1=1&assembly=complete
PA4836,0.1677104532,PA4836,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4836&e1=1&assembly=complete
PA1923,0.1668715278,PA1923,cobaltochelatase subunit CobN,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1923&e1=1&assembly=complete
PA4063,0.1650471398,PA4063,hypothetical protein,Inorganic ion transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4063&e1=1&assembly=complete
PA4835,0.1522184153,PA4835,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4835&e1=1&assembly=complete
PA4834,0.1469123635,PA4834,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4834&e1=1&assembly=complete
PA4065,0.1365998353,PA4065,hypothetical protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4065&e1=1&assembly=complete
PA1921,0.1312655305,PA1921,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1921&e1=1&assembly=complete
