locus,comp,gene_name,product,operon,TF,crp,link
b2093,0.27500751117600003,gatB,galactitol PTS permease - GatB subunit,gatYZABCD,"arcA, crp, gatR, nac, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12415
b2092_2,0.266735280708,gatC_2,,gatYZABCD,rpoD,False,
b2092_1,0.254217952059,gatC_1,,gatYZABCD,rpoD,False,
b2091,0.253578229926,gatD,L-galactitol-1-phosphate 5-dehydrogenase,gatYZABCD,"arcA, crp, gatR, nac, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12417
b2094,0.233687110684,gatA,galactitol PTS permease - GatA subunit,gatYZABCD,"arcA, crp, gatR, nac, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12414
b2095,0.210647023963,gatZ,"tagatose-1,6-bisphosphate aldolase 2 subunit GatZ",gatYZABCD,"arcA, crp, gatR, nac, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7128
b2096,0.187817020824,gatY,"tagatose-1,6-bisphosphate aldolase 2 subunit GatY",gatYZABCD,"arcA, crp, gatR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12419
b1426,0.141496054269,ydcH,putative protein,ydcH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b2149,0.11438174872500001,mglA,D-galactose / D-galactoside ABC transporter - ATP binding subunit,mglBAC,"arcA, crp, fis, flhD;flhC, galR, galS, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10592
b2150,0.11201172518300001,mglB,D-galactose / D-galactoside ABC transporter - periplasmic binding protein,mglBAC,"arcA, crp, flhD;flhC, galR, galS, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b2597,0.10398614809000001,raiA,stationary phase translation inhibitor and ribosome stability factor,raiA,"cra, crp, nac, rpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b4498_1,0.0926901316196,gatR_1,negative DNA-binding transcriptional regulator of galactitol metabolism,gatR_1,,False,
b2148,0.09234170159600001,mglC,D-galactose / D-galactoside ABC transporter - membrane subunit,mglBAC,"arcA, crp, fis, flhD;flhC, galR, galS, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10594
b1817,0.0854568765958,manX,mannose PTS permease - ManX subunit,manXYZ,"cra, crp, mlc, nagC, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10567
b1818,0.084033369375,manY,mannose PTS permease - ManY subunit,manXYZ,"cra, crp, mlc, nagC, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10568
b1819,0.0834372928787,manZ,mannose PTS permease - ManZ subunit,manXYZ,"cra, crp, mlc, nagC, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10569
b4357,0.0775646374071,lgoR,predicted DNA-binding transcriptional regulator,lgoR,"crp, exuR, rpoE, uxuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7944
b0553_1,0.07170573176350001,nmpC_1,,nmpC,,False,
b1415,0.07053404954760001,aldA,aldehyde dehydrogenase A,aldA,"arcA, crp, dnaA, fnr, marA, rob, rpoD, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b1101,0.06435908882000001,ptsG,glucose PTS permease - PtsG subunit,ptsG,"arcA, crp, fis, fnr, mlc, rpoD, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10787
b4021,0.0634718168798,pepE,"peptidase E, a dipeptidase where amino-terminal residue is aspartate",pepE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11920
b3001,0.06200406636580001,gpr,L-glyceraldehyde 3-phosphate reductase,gpr,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7558
b1145,0.0599491840576,cohE,e14 prophage; predicted repressor protein,ymfK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6589
b3358,0.0567945795105,yhfK,conserved inner membrane protein,yhfK,crp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7721
b3403,0.053330617280099996,pck,phosphoenolpyruvate carboxykinase (ATP),pck,"arcA, cra, crp, nac, rpoD, yeiE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10688
b2239,0.0527685925246,glpQ,"glycerophosphoryl diester phosphodiesterase, periplasmic",glpTQ,"crp, fis, fnr, glpR, ihf, nac, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10399
b2151,0.05273254119990002,galS,GalS DNA-binding transcriptional dual regulator,galS,"argR, crp, galR, galS, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10365
b4267,0.052370031116699994,idnD,L-idonate 5-dehydrogenase,idnDOTR,"crp, gntR, idnR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7893
b1205,0.0520401086534,ychH,stress-induced protein,ychH,"crp, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11533
b2796,0.0518742191201,sdaC,serine:H<sup>+</sup> symporter SdaC,sdaCB,"crp, lrp, yieP",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12142
b1143,0.049102892580399994,ymfI,e14 prophage; predicted protein,ymfI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6587
