locus,gene_weight,gene_name,gene_product,COG,operon,regulator,PhoB,link
b3728,0.38300766680000004,pstS,phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,ppGpp,IHF,PhoB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10734
b0399,0.3410854827,phoB,DNA-binding transcriptional dual regulator PhoB,Transcription,phoBR,"RpoD,PhoB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10728
b3727,0.2898428926,pstC,phosphate ABC transporter membrane subunit PstC,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10784
b3726,0.2774516063,pstA,phosphate ABC transporter membrane subunit PstA,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10782
b3725,0.2380779728,pstB,phosphate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10783
b3724,0.2129925177,phoU,negative regulator of the pho regulon,Inorganic ion transport and metabolism,pstSCAB-phoU,"RpoD,RpoS,Fnr,IHF,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10735
b0400,0.1834034695,phoR,sensory histidine kinase PhoR,Signal transduction mechanisms,phoBR,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10733
b0241,0.1404382529,phoE,outer membrane porin PhoE,Cell wall/membrane/envelope biogenesis,phoE,"RpoD,PhoB,micF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10729
b0383,0.1357656186,phoA,alkaline phosphatase,Inorganic ion transport and metabolism,phoA-psiF,"RpoD,YidZ,PhoB,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10727
b3723,0.0971015086,bglG,transcriptional antiterminator BglG,Transcription,bglGFB,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10116
