locus,gene_weight,gene_name,gene_product,cog,regulator,PmrA,link
PA4773,0.2015482636,PA4773,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4773&e1=1&assembly=complete
PA3555,0.19634195910000002,arnD,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Carbohydrate transport and metabolism,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3555&e1=1&assembly=complete
PA3556,0.18919977270000002,arnT,4-amino-4-deoxy-L-arabinose lipid A transferase,Cell wall/membrane/envelope biogenesis,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3556&e1=1&assembly=complete
PA4774,0.1855310567,PA4774,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4774&e1=1&assembly=complete
PA3558,0.1836571189,arnF,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,"Intracellular trafficking, secretion, and vesicular transport",PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3558&e1=1&assembly=complete
PA3557,0.1831404506,arnE,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,"Intracellular trafficking, secretion, and vesicular transport",PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3557&e1=1&assembly=complete
PA3554,0.1787473221,arnA,bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase,Lipid transport and metabolism,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3554&e1=1&assembly=complete
PA3559,0.1712642921,PA3559,nucleotide sugar dehydrogenase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3559&e1=1&assembly=complete
PA3553,0.1684327598,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Cell wall/membrane/envelope biogenesis,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3553&e1=1&assembly=complete
PA3552,0.155113613,arnB,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,Cell wall/membrane/envelope biogenesis,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3552&e1=1&assembly=complete
