locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS09955,0.2317244909664733,nagAc,Saci_2059,aromatic ring-hydroxylating dioxygenase subunit alpha,Inorganic ion transport and metabolism,Op1224,,https://www.uniprot.org/uniprot/A0A0U3HNQ5
SACI_RS09950,0.22783155032743035,proP_2,Saci_2058,MFS transporter,Carbohydrate transport and metabolism,Op1223,,https://www.uniprot.org/uniprot/A0A0U3GPF6
SACI_RS09945,0.20082328813278288,adh_2,Saci_2057,NAD(P)-dependent alcohol dehydrogenase,General Function Prediction Only,Op1222,YtrA,https://www.uniprot.org/uniprot/A0A0U2NH16
SACI_RS09935,0.1877700108201253,hudA,Saci_2055,UbiD family decarboxylase,Coenzyme transport and metabolism,Op1220,"hypotonic-K,Saci_1955",https://www.uniprot.org/uniprot/A0A0U3HGB3
SACI_RS09960,0.1841334341758096,absAb,Saci_2060,aromatic ring dioxygenase subunit B,"Secondary metabolites biosynthesis, transport and catabolism",Op1224,,https://www.uniprot.org/uniprot/A0A0U3FQB8
SACI_RS09980,0.16547152689702618,cdhA_4,Saci_2064,xanthine dehydrogenase family protein molybdopterin-binding subunit,Energy production and conversion,Op1227,,https://www.uniprot.org/uniprot/A0A0U2VXW5
SACI_RS10335,0.16073833207431604,Saci_2137,Saci_2137,beta-alanine aminotransferase,Amino acid transport and metabolism,Op1280,"BarR,hypotonic-K,hypotonic-all",https://www.uniprot.org/uniprot/A0A0U3HCW1
SACI_RS09970,0.14558373875147487,acsA_4,Saci_2062,acetyl-CoA synthetase,Lipid transport and metabolism,Op1226,biofilm,https://www.uniprot.org/uniprot/A0A0U3GV35
SACI_RS09975,0.1423990737556098,caiD,Saci_2063,enoyl-CoA hydratase/isomerase family protein,Lipid transport and metabolism,Op1227,,https://www.uniprot.org/uniprot/A0A0U3GW81
SACI_RS09965,0.10810796301054776,Saci_2061,Saci_2061,helix-turn-helix domain-containing protein,Transcription,Op1225,,https://www.uniprot.org/uniprot/A0A0U3H5B5
