locus,gene_weight,gene_name,gene_product,cog,regulator,rpoH,link
STM3808,0.30661231,ibpB,small heat shock protein,"Post-translational modification, protein turnover,and chaperones","ihf,nac,rpoH,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3808
STM3809,0.28451116730000003,ibpA,small heat shock protein,"Post-translational modification, protein turnover,and chaperones","nac,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3809
STM0012,0.2616338791,dnaK,chaperone Hsp70,"Post-translational modification, protein turnover,and chaperones","rpoH,ybiH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0012
STM0487,0.2328210719,htpG,chaperone Hsp90%2C heat shock protein C 62.5,"Post-translational modification, protein turnover,and chaperones","ascG,nac,rpoH,rpoN,yeiE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0487
STM0013,0.2048810778,dnaJ,heat shock protein DnaJ,"Post-translational modification, protein turnover,and chaperones",rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0013
STM4330,0.1766033963,mopA,chaperone Hsp60 with peptide-dependent ATPase activity,"Post-translational modification, protein turnover,and chaperones","fnr,rpoD,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4330
STM1251,0.1706510654,STM1251,putative molecular chaperone (small heat shock protein),"Post-translational modification, protein turnover,and chaperones",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1251
STM0504,0.1599540536,ybbN,putative thioredoxin protein,"Post-translational modification, protein turnover,and chaperones",rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0504
STM2660,0.1564848499,clpB,ATP-dependent protease,"Post-translational modification, protein turnover,and chaperones","rpoD,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2660
STM4091,0.1515325758,hslU,ATPase component of the HslUV protease,Nucleotide transport and metabolism,rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4091
STM3726,0.1504552624,mutM,formamidopyrimidine DNA glycosylase,"Replication, recombination and repair","arcA,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3726
STM4327,0.1481667009,fxsA,suppresses F exclusion of bacteriophage T7,Function unknown,rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4327
STM3510,0.13167744450000002,yhgH,putative amidophosphoribosyltransferase,Function unknown,"crp,gntR,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3510
STM2681,0.1182048827,grpE,molecular chaparone,"Post-translational modification, protein turnover,and chaperones","crp,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2681
