locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,XylR,link
SACI_RS10935,0.17441426129651125,soxF,Saci_2261,Rieske 2Fe-2S domain-containing protein,Energy production and conversion,Op1373,,False,https://www.uniprot.org/uniprot/F2Z628
SACI_RS10930,0.1630525424423913,soxG,Saci_2260,cytochrome a-587,Energy production and conversion,Op1373,"hypotonic-all,hypotonic-all-acid ",False,https://www.uniprot.org/uniprot/A0A0U2NHR0
SACI_RS10940,0.1390247496376936,soxE,Saci_2262,sulfocyanin (blue copper),Energy production and conversion,Op1374,,False,https://www.uniprot.org/uniprot/A0A0U2NAM5
SACI_RS10920,0.11876220355676224,soxI,Saci_2258,hypothetical protein,Function Unknown,Op1373,,False,https://www.uniprot.org/uniprot/F2Z5W8
SACI_RS10925,0.11867614663071573,soxH,Saci_2259,cbb3-type cytochrome c oxidase subunit II,Energy production and conversion,Op1373,,False,https://www.uniprot.org/uniprot/F2Z6G7
SACI_RS10785,0.11835012667877474,Saci_2231,Saci_2231,Predicted DNA-binding protein containing a Zn-ribbon (OB-fold protein),General Function Prediction Only,Op1355,"YtrA,XylR",True,https://www.uniprot.org/uniprot/A0A0U3GN05
SACI_RS10790,0.1159345796561088,Saci_2232,Saci_2232,conserved archaeal acetyl-CoA acetyltransferase,Lipid transport and metabolism,Op1355,"YtrA,XylR",True,https://www.uniprot.org/uniprot/A0A0U3HCP2
SACI_RS10795,0.11506011345733505,Saci_2233,Saci_2233,Acetyl-CoA acetyltransferase,Lipid transport and metabolism,Op1355,"YtrA,XylR",True,https://www.uniprot.org/uniprot/A0A0U3GXD6
SACI_RS08385,0.11241890440248198,Saci_1754,Saci_1754,hypothetical protein,Function Unknown,Op990,,False,https://www.uniprot.org/uniprot/A0A0U3H5I1
SACI_RS11800,0.11193241393182576,SACI_RS11800,,hypothetical protein,No arCOG annotation,Op310,,False,
SACI_RS10780,0.11143654028386853,Saci_2230,Saci_2230,Predicted DNA-binding protein containing a Zn-ribbon (OB-fold protein) / heterodisulfide reductase subunit,General Function Prediction Only,Op1355,"YtrA,XylR",True,https://www.uniprot.org/uniprot/A0A0U3GUQ7
SACI_RS10675,0.10043953729587342,fadJ_4,Saci_2208,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,Lipid transport and metabolism,Op1337,,False,https://www.uniprot.org/uniprot/A0A0U3FHD7
SACI_RS09385,0.09868179131106952,satP,Saci_1944,hypothetical protein,Function Unknown,Op1148,,False,https://www.uniprot.org/uniprot/A0A0U3HGK1
SACI_RS10945,0.09519343546845163,soxM,Saci_2263,cbb3-type cytochrome c oxidase subunit I and subunit III,Energy production and conversion,Op1375,,False,https://www.uniprot.org/uniprot/A0A0U3FPV4
SACI_RS05465,0.0945891310113455,Saci_1147,Saci_1147,"Subtilase family protease, S8 family serine peptidase","Posttranslational modification, protein turnover, chaperones",Op628,XylR,True,https://www.uniprot.org/uniprot/A0A0U3FDU5
SACI_RS09835,0.08672246531590322,glpF,Saci_2034,aquaporin,Carbohydrate transport and metabolism,Op1211,,False,https://www.uniprot.org/uniprot/A0A0U3FQ15
SACI_RS08185,0.08662109951799392,thpS,Saci_1714,thermopsin,Amino acid transport and metabolism,Op956,,False,https://www.uniprot.org/uniprot/A0A0U3H5H2
SACI_RS08415,0.08115196913661457,Saci_1760,Saci_1760,predicted periplasmic solute-binding protein belonging to an oligopeptide transport system,Amino acid transport and metabolism,Op995,XylR,True,https://www.uniprot.org/uniprot/A0A0U3GQ08
SACI_RS10680,0.08055670465135899,fadI,Saci_2209,thiolase domain-containing protein,Lipid transport and metabolism,Op1338,,False,https://www.uniprot.org/uniprot/M1J1C9
SACI_RS05470,0.07868388628608301,Saci_1148,Saci_1148,hypothetical protein,Function Unknown,Op628,XylR,True,https://www.uniprot.org/uniprot/A0A0U2N8R4
SACI_RS10805,0.07700700322354609,acsA_5,Saci_2235,"Acyl-CoA synthetase/AMP-(fatty) acid ligase, AMP-binding protein",Lipid transport and metabolism,Op1356,XylR,True,https://www.uniprot.org/uniprot/A0A0U2W5U6
SACI_RS10950,0.07682066967462055,Saci_2264,Saci_2264,DUF1404 domain-containing protein,Function Unknown,Op1375,,False,https://www.uniprot.org/uniprot/A0A0U3FH85
SACI_RS10685,0.07530492384004353,Saci_2210,Saci_2210,Zn-ribbon domain-containing OB-fold protein,General Function Prediction Only,Op1338,,False,https://www.uniprot.org/uniprot/A0A0U3F987
SACI_RS10800,0.07379070382964832,mmgC_3,Saci_2234,acyl-CoA dehydrogenase,Lipid transport and metabolism,Op1355,XylR,True,https://www.uniprot.org/uniprot/A0A0U3GQ71
SACI_RS09325,0.07139210552892451,Saci_1933,Saci_1933,hypothetical protein,Function Unknown,Op1137,,False,https://www.uniprot.org/uniprot/A0A0U3FQM3
SACI_RS01445,0.06641441461016631,moaA_1,Saci_0296,PTO1314 family radical SAM protein,General Function Prediction Only,Op165,,False,https://www.uniprot.org/uniprot/A0A0U3H336
SACI_RS10015,0.06560016351604238,Saci_2072,Saci_2072,hypothetical protein,Function Unknown,Op1231,,False,https://www.uniprot.org/uniprot/A0A0U2NAX8
