locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PN96_RS13905,0.2074221705150498,PN96_RS13905,DUF2282 domain-containing protein,Function unknown,Op2893,,
PN96_RS15625,0.1610755382224799,PN96_RS15625,response regulator transcription factor,Transcription,Op94,,
PN96_RS17200,0.1260438490736017,msrB,peptide-methionine (R)-S-oxide reductase MsrB,"Post-translational modification, protein turnover, and chaperones",Op527,,
PN96_RS15620,0.1223573481895867,PN96_RS15620,HAMP domain-containing histidine kinase,Signal transduction mechanisms,Op94,,
PN96_RS13900,0.1188368259543382,PN96_RS13900,DUF692 domain-containing protein,Function unknown,Op2892,,
PN96_RS08390,0.1174432094779077,PN96_RS08390,TVP38/TMEM64 family protein,Function unknown,Op2154,,
PN96_RS22995,0.1172143498443523,PN96_RS22995,glutaredoxin,"Post-translational modification, protein turnover, and chaperones",Op2108,,
PN96_RS13890,0.1093364123495024,PN96_RS13890,DoxX family protein,Function unknown,Op2892,,
PN96_RS02835,0.1075640866278201,PN96_RS02835,sigma-70 family RNA polymerase sigma factor,Transcription,Op673,,
PN96_RS02830,0.1074819344038395,PN96_RS02830,DUF3379 domain-containing protein,Transcription,Op673,,
