locus,gene_weight,gene_name,gene_product,cog,regulator,cpxR,link
STM4060,0.4432635016,cpxP,periplasmic repressor of cpx regulon by interaction with CpxA,Cell motility,"cpxR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4060
STM1268,0.1840581198,STM1268,putative cytoplasmic protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1268
STM1085,0.15505306200000002,yccA,putative TEGT family carrier,Function unknown,"arcA,cpxR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1085
STM0581,0.1264970551,STM0581,putative regulatory protein,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0581
STM1215,0.1208653735,ycfS,putative periplasmic protein,Cell wall/membrane/envelope biogenesis,"cpxR,nac,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1215
STM1603,0.1128545987,yncJ,putative periplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1603
STM3472,0.1092188652,ppiA,peptidyl-prolyl cis-trans isomerase A,Cell wall/membrane/envelope biogenesis,"cpxR,crp,cytR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3472
STM1880,0.1011503893,yebE,putative inner membrane protein,Function unknown,"cpxR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1880
STM1844,0.0977510551,htpX,heat shock protein,"Post-translational modification, protein turnover,and chaperones",rpoH,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1844
STM1308,0.09394792440000001,spy,periplasmic protein related to spheroblast formation,Cell motility,"baeR,cpxR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1308
STM3224,0.0905738896,ygjT,putative resistance protein,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3224
STM1771,0.0895763509,chaA,CaCA family%2C sodium-calcium/proton antiporter,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1771
STM0823,0.08940273300000001,ybiJ,putative periplasmic protein,Function unknown,lrp,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0823
