locus,gene_weight,gene_name,gene_product,cog,regulator,PhhR,HmgR,link
PA2007,0.2851000289,maiA,maleylacetoacetate isomerase,"Post-translational modification, protein turnover,and chaperones",HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2007&e1=1&assembly=complete
PA2008,0.2706207697,fahA,fumarylacetoacetase,"Secondary metabolites biosynthesis, transport, and catabolism",HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2008&e1=1&assembly=complete
PA2009,0.2701990935,hmgA,homogentisate 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2009&e1=1&assembly=complete
PA0865,0.24241636230000002,hpd,4-hydroxyphenylpyruvate dioxygenase,Amino acid transport and metabolism,PhhR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0865&e1=1&assembly=complete
PA2006,0.19902434100000002,PA2006,major facilitator superfamily transporter,Carbohydrate transport and metabolism,HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2006&e1=1&assembly=complete
PA0866,0.16653321440000002,aroP2,aromatic amino acid transporter AroP,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0866&e1=1&assembly=complete
PA2010,0.1443194693,hmgR,transcriptional regulator,Transcription,HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2010&e1=1&assembly=complete
PA0872,0.13564732300000001,phhA,phenylalanine 4-monooxygenase,Amino acid transport and metabolism,"PhhR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0872&e1=1&assembly=complete
PA0871,0.12217019,phhB,pterin-4-alpha-carbinolamine dehydratase,Coenzyme transport and metabolism,"PhhR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0871&e1=1&assembly=complete
PA0870,0.1202154108,phhC,aromatic amino acid aminotransferase,Amino acid transport and metabolism,"PhhR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0870&e1=1&assembly=complete
PA2000,0.09478134810000001,dhcB,dehydrocarnitine CoA transferase subunit B,Lipid transport and metabolism,"DhcR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2000&e1=1&assembly=complete
