,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA0001,dnaA,,483,2027,+,chromosome replication initiator DnaA,"Replication, recombination and repair",Q9I7C5,
PA0002,dnaN,,2056,3159,+,DNA polymerase III subunit beta,"Replication, recombination and repair",Q9I7C4,
PA0003,recF,,3169,4278,+,DNA replication and repair protein RecF,"Replication, recombination and repair",Q9I7C3,
PA0004,gyrB,,4275,6695,+,DNA gyrase subunit B,"Replication, recombination and repair",Q9I7C2,
PA0005,lptA,,7018,7791,-,lysophosphatidic acid acyltransferase,Lipid transport and metabolism,Q9I7C1,
PA0006,PA0006,,7803,8339,-,D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,Carbohydrate transport and metabolism,Q9I7C0,
PA0007,PA0007,,8671,10377,+,hypothetical protein,Energy production and conversion,Q9I7B9,
PA0008,glyS,,10434,12488,-,glycine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",Q9I7B8,
PA0009,glyQ,,12488,13435,-,glycine--tRNA ligase subunit alpha,"Translation, ribosomal structure and biogenesis",Q9I7B7,
PA0010,tag,,13540,14091,+,DNA-3-methyladenine glycosidase I,"Replication, recombination and repair",Q9I7B6,
PA0011,PA0011,,14235,15122,+,lipid A biosynthesis lauroyl acyltransferase,Cell wall/membrane/envelope biogenesis,Q9I7B5,
PA0012,PA0012,,15207,15473,+,hypothetical protein,Function unknown,Q9I7B4,
PA0013,PA0013,,15620,16273,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9I7B3,
PA0014,PA0014,,16335,16607,-,hypothetical protein,No COG annotation,Q9I7B2,
PA0015,PA0015,,16900,17217,-,hypothetical protein,Cell motility,Q9I7B1,
PA0016,trkA,,17366,18739,-,potassium transporter inner membrane associated protein,Inorganic ion transport and metabolism,Q9I7B0,
PA0017,PA0017,,18767,20071,-,Ribosomal RNA small subunit methyltransferase B,"Translation, ribosomal structure and biogenesis",Q9I7A9,
PA0018,fmt,,20068,21012,-,methionyl-tRNA formyltransferase,"Translation, ribosomal structure and biogenesis",O85732,
PA0019,def,,21067,21573,-,peptide deformylase,"Translation, ribosomal structure and biogenesis",Q9I7A8,
PA0020,PA0020,,21712,22737,+,hypothetical protein,Function unknown,Q9I7A7,
PA0021,PA0021,,22872,23960,+,hypothetical protein,"Replication, recombination and repair",Q9I7A6,
PA0022,PA0022,,24001,24558,+,threonylcarbamoyl-AMP synthase,"Translation, ribosomal structure and biogenesis",Q9I7A5,
PA0023,qor,,24568,25545,-,oxygen-dependent quinone oxidoreductase,Energy production and conversion,P43903,
PA0024,hemF,,25736,26653,+,coproporphyrinogen III oxidase,Coenzyme transport and metabolism,P43898,
PA0025,aroE,,26711,27535,+,shikimate dehydrogenase,Amino acid transport and metabolism,P43904,
PA0026,plcB,,27646,28632,+,phospholipase C,No COG annotation,Q9I7A4,
PA0027,PA0027,,28613,29899,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I7A3,
PA0028,PA0028,,29896,30498,+,hypothetical protein,No COG annotation,Q9I7A2,
PA0029,PA0029,,30502,32055,-,sulfate transporter,Inorganic ion transport and metabolism,Q9I7A1,
PA0030,PA0030,,32060,32983,-,hypothetical protein,Amino acid transport and metabolism,Q9I7A0,
PA0031,betC,,33000,34511,-,choline sulfatase,Inorganic ion transport and metabolism,Q9I799,
PA0032,PA0032,,34624,35538,+,transcriptional regulator,Transcription,Q9I798,
PA0032a,PA0032a,,35549,35926,+,DOPA 4%2C5-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",UPI00006D899C,
PA0033,PA0033,,35905,36270,-,hypothetical protein,Signal transduction mechanisms,Q9I797,
PA0034,PA0034,,36278,36901,-,two-component response regulator,Transcription,P24908,
PA0035,trpA,,37087,37893,-,tryptophan synthase subunit alpha,Amino acid transport and metabolism,P07344,
PA0036,trpB,,37890,39098,-,tryptophan synthase subunit beta,Amino acid transport and metabolism,P07345,
PA0037,trpI,,39202,40089,+,HTH-type transcriptional regulator TrpI,Transcription,P11720,
PA0038,PA0038,,40190,40405,+,hypothetical protein,Function unknown,Q9I794,
PA0039,PA0039,,40589,40816,+,hypothetical protein,Function unknown,Q9I793,
