locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CytR,Crp,link
b4381,0.2686174085,deoC,deoxyribose-phosphate aldolase,Nucleotide transport and metabolism,deoCABD,"RpoD,Fis,Crp,ModE,DeoR,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10221
b4382,0.25674825030000004,deoA,thymidine phosphorylase,Nucleotide transport and metabolism,deoCABD,"RpoD,YiaU,Fis,Crp,ModE,DeoR,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10219
b2143,0.2411583099,cdd,cytidine/deoxycytidine deaminase,Nucleotide transport and metabolism,cdd,"RpoD,NsrR,Crp,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10137
b3831,0.2069584768,udp,uridine phosphorylase,Nucleotide transport and metabolism,udp,"RpoD,Crp,ppGpp,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11045
b2964,0.20682019940000002,nupG,nucleoside:H(+) symporter NupG,Carbohydrate transport and metabolism,mutY-yggX-mltC-nupG,"RpoD,DeoR,Crp,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10664
b0411,0.1915613247,tsx,nucleoside-specific channel-forming protein Tsx,Cell wall/membrane/envelope biogenesis,tsx,"RpoD,YeiE,DeoR,Crp,ppGpp,CytR,micA,rybB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11035
b1036,0.168267727,ycdZ,putative inner membrane protein,Function unknown,ycdZ,"RpoD,Crp,CytR,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6542
b4383,0.15032619360000002,deoB,phosphopentomutase,Nucleotide transport and metabolism,deoCABD,"RpoD,YneJ,YedW,Fis,Crp,ModE,DeoR,CytR,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10220
b3364,0.1202621985,tsgA,putative transporter TsgA,Carbohydrate transport and metabolism,tsgA,"NsrR,ppGpp,OmpR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11262
b4384,0.1166410653,deoD,purine nucleoside phosphorylase,Nucleotide transport and metabolism,deoCABD,"RpoD,Fis,Crp,ModE,DeoR,CytR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10222
b2393,0.10787523780000001,nupC,nucleoside:H(+) symporter NupC,"Intracellular trafficking, secretion, and vesicular transport",nupC,"RpoD,Nac,CytR,Crp,ppGpp,ArcA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11971
